from,to
1081,Lake Macquarie
1082,Salisbury
1083,Mid-Western
1084,Eurobodalla
1085,Sutherland
1086,Alexandrina
1087,Palmerston
1088,Sunshine Coast
1089,Townsville
1090,Liverpool
1091,Liverpool
1092,Isaac
1093,Barunga West
1094,Liverpool
1095,Tamworth
1096,West Coast
1097,Townsville
1098,Tablelands
1099,Rockhampton
1100,Tenterfield
1101,Tenterfield
1102,Yass Valley
1103,Tatiara
1104,Tatiara
1105,Port Macquarie-Hastings
1106,Canterbury-Bankstown
1107,Tablelands
1108,Moreton Bay
1109,Snowy Monaro
1110,Port Adelaide Enfield
1111,Snowy Valleys
1112,Noosa
1113,Adelaide Hills
1114,Fraser Coast
1115,Playford
1116,Hawkesbury
1117,Narrandera
1118,West Torrens
1119,Singleton
1120,Etheridge
1121,Richmond Valley
1122,Liverpool
1123,Bland
1124,Blacktown
1125,Bland
1126,Isaac
1127,Georges River
1128,Gold Coast
1129,Brisbane
1130,Wingecarribee
1131,Fraser Coast
1132,Etheridge
1133,Forbes
1134,Port Adelaide Enfield
1135,Oberon
1136,Murrumbidgee
1137,Maranoa
1138,Mackay
1139,Cook
1140,Cook
1141,Wollongong
1142,Bathurst
1143,Singleton
1144,Nillumbik
1145,Greater Dandenong
1146,Greater Shepparton
1147,Glenelg
1148,Sutherland
1149,Corangamite
1150,Mid-Coast
1151,Tweed
1152,Upper Lachlan
1153,Brisbane
1154,Townsville
1155,Cobar
1156,Mid-Western
1157,Casey
1158,Central Coast (NSW)
1159,Bass Coast
1160,Hobart
1161,Yarra Ranges
1162,Wollongong
1163,Warrumbungle
1164,Northern Beaches
1165,Gympie
1166,Yorke Peninsula
1167,Derwent Valley
1168,Scenic Rim
1169,Surf Coast
1170,Litchfield
1171,Moorabool
1172,Gympie
1173,Bundaberg
1174,Mackay
1175,Bundaberg
1176,Gold Coast
1177,Moreton Bay
1178,Mornington Peninsula
1179,Frankston
1180,Townsville
1181,Mansfield
1182,Sydney
1183,Casey
1184,Waratah-Wynyard
1185,Hornsby
1186,Moreton Bay
1187,Central Coast (NSW)
1188,Bundaberg
1189,Logan
1190,Wingecarribee
1191,Blacktown
1192,Mid-Coast
1193,Launceston
1194,Hume
1195,Latrobe (Vic.)
1196,Litchfield
