crash_id,vehicle_type
20184019,heavy_rigid_truck
20181047,heavy_rigid_truck
20181007,heavy_rigid_truck
20182067,heavy_rigid_truck
20183174,heavy_rigid_truck
20181164,heavy_rigid_truck
20184075,heavy_rigid_truck
20183030,heavy_rigid_truck
20183005,heavy_rigid_truck
20181229,heavy_rigid_truck
20185099,heavy_rigid_truck
20181191,heavy_rigid_truck
20186018,heavy_rigid_truck
20181092,heavy_rigid_truck
20181320,heavy_rigid_truck
20181195,heavy_rigid_truck
20181028,heavy_rigid_truck
20183045,heavy_rigid_truck
20182200,heavy_rigid_truck
20175117,heavy_rigid_truck
20176023,heavy_rigid_truck
20172046,heavy_rigid_truck
20172053,heavy_rigid_truck
20173127,heavy_rigid_truck
20171277,heavy_rigid_truck
20171159,heavy_rigid_truck
20175054,heavy_rigid_truck
20175119,heavy_rigid_truck
20175043,heavy_rigid_truck
20175078,heavy_rigid_truck
20172020,heavy_rigid_truck
20172102,heavy_rigid_truck
20171116,heavy_rigid_truck
20172013,heavy_rigid_truck
20174035,heavy_rigid_truck
20171146,heavy_rigid_truck
20172230,heavy_rigid_truck
20176032,heavy_rigid_truck
20172099,heavy_rigid_truck
20175035,heavy_rigid_truck
20174067,heavy_rigid_truck
20171025,heavy_rigid_truck
20171315,heavy_rigid_truck
20175033,heavy_rigid_truck
20176027,heavy_rigid_truck
20171119,heavy_rigid_truck
20171139,heavy_rigid_truck
20171163,heavy_rigid_truck
20173212,heavy_rigid_truck
20175059,heavy_rigid_truck
20175101,heavy_rigid_truck
20172166,heavy_rigid_truck
20171252,heavy_rigid_truck
20171281,heavy_rigid_truck
20175138,heavy_rigid_truck
20174064,heavy_rigid_truck
20171229,heavy_rigid_truck
20172126,heavy_rigid_truck
20171318,heavy_rigid_truck
20172144,heavy_rigid_truck
20171125,heavy_rigid_truck
20172186,heavy_rigid_truck
20172084,heavy_rigid_truck
20173037,heavy_rigid_truck
20171056,heavy_rigid_truck
20173126,heavy_rigid_truck
20171039,heavy_rigid_truck
20173129,heavy_rigid_truck
20175063,heavy_rigid_truck
20176026,heavy_rigid_truck
20175091,heavy_rigid_truck
20171070,heavy_rigid_truck
20173082,heavy_rigid_truck
20175152,heavy_rigid_truck
20172081,heavy_rigid_truck
20173156,heavy_rigid_truck
20171220,heavy_rigid_truck
20173066,heavy_rigid_truck
20173178,heavy_rigid_truck
20171137,heavy_rigid_truck
20172033,heavy_rigid_truck
20172213,heavy_rigid_truck
20175135,heavy_rigid_truck
20174029,heavy_rigid_truck
20171265,heavy_rigid_truck
20171255,heavy_rigid_truck
20171014,heavy_rigid_truck
20173112,heavy_rigid_truck
20171044,heavy_rigid_truck
20172015,heavy_rigid_truck
20171114,heavy_rigid_truck
20175003,heavy_rigid_truck
20172179,heavy_rigid_truck
20176030,heavy_rigid_truck
20172060,heavy_rigid_truck
20171153,heavy_rigid_truck
20171190,heavy_rigid_truck
