crashID,age,gender,roadUser,ageGroup,personID
20191122,62,Male,Pedal cyclist,40_to_64,P5990
20193165,9,Female,Passenger,0_to_16,P5991
20192114,49,Male,Motorcycle rider,40_to_64,P5992
20192066,78,Male,Driver,75_or_older,P5993
20191152,51,Male,Driver,40_to_64,P5994
20194090,55,Male,Motorcycle rider,40_to_64,P5995
20192119,68,Female,Driver,65_to_74,P5996
20195082,64,Male,Motorcycle rider,40_to_64,P5997
20192183,59,Male,Pedal cyclist,40_to_64,P5998
20193005,24,Female,Passenger,17_to_25,P5999
20191161,59,Male,Motorcycle rider,40_to_64,P6000
20195115,48,Male,Motorcycle rider,40_to_64,P6001
20195143,33,Female,Passenger,26_to_39,P6002
20192117,20,Male,Passenger,17_to_25,P6003
20196004,36,Female,Driver,26_to_39,P6004
20191306,53,Male,Driver,40_to_64,P6005
20192005,50,Female,Pedal cyclist,40_to_64,P6006
20191267,22,Male,Driver,17_to_25,P6007
20191267,18,Male,Passenger,17_to_25,P6008
20192212,90,Female,Passenger,75_or_older,P6009
20194001,47,Female,Pedestrian,40_to_64,P6010
20195096,57,Male,Motorcycle rider,40_to_64,P6011
20193082,89,Female,Pedestrian,75_or_older,P6012
20191196,21,Male,Passenger,17_to_25,P6013
20193035,46,Female,Motorcycle rider,40_to_64,P6014
20191224,21,Female,Pedal cyclist,17_to_25,P6015
20191249,78,Female,Driver,75_or_older,P6016
20194041,41,Female,Driver,40_to_64,P6017
20195024,52,Male,Driver,40_to_64,P6018
20192041,33,Male,Driver,26_to_39,P6019
20191270,64,Male,Driver,40_to_64,P6020
20191032,63,Male,Driver,40_to_64,P6021
20193108,30,Male,Driver,26_to_39,P6022
20191014,77,Female,Driver,75_or_older,P6023
20191022,73,Male,Motorcycle rider,65_to_74,P6024
20194056,49,Female,Passenger,40_to_64,P6025
20194056,60,Male,Driver,40_to_64,P6026
20193110,32,Male,Driver,26_to_39,P6027
20193079,16,Male,Motorcycle rider,0_to_16,P6028
20191266,73,Male,Motorcycle rider,65_to_74,P6029
20191242,35,Female,Driver,26_to_39,P6030
20192120,42,Male,Motorcycle rider,40_to_64,P6031
20194002,45,Female,Driver,40_to_64,P6032
20191201,62,Female,Passenger,40_to_64,P6033
20191201,66,Female,Driver,65_to_74,P6034
20194073,50,Female,Driver,40_to_64,P6035
20195047,25,Male,Passenger,17_to_25,P6036
20193182,28,Male,Driver,26_to_39,P6037
20191294,56,Male,Driver,40_to_64,P6038
20194045,47,Male,Driver,40_to_64,P6039
20191068,57,Male,Motorcycle rider,40_to_64,P6040
20194062,40,Male,Pedestrian,40_to_64,P6041
20191245,56,Female,Pedestrian,40_to_64,P6042
20196024,17,Male,Motorcycle rider,17_to_25,P6043
20194004,60,Female,Passenger,40_to_64,P6044
20191108,48,Male,Motorcycle rider,40_to_64,P6045
20191225,86,Female,Driver,75_or_older,P6046
20191225,80,Male,Passenger,75_or_older,P6047
20191104,66,Female,Passenger,65_to_74,P6048
20191104,60,Male,Driver,40_to_64,P6049
20195133,47,Male,Motorcycle rider,40_to_64,P6050
20196025,31,Male,Driver,26_to_39,P6051
20191135,39,Male,Driver,26_to_39,P6052
20195012,43,Female,Driver,40_to_64,P6053
20195152,25,Male,Motorcycle rider,17_to_25,P6054
20191067,69,Male,Pedestrian,65_to_74,P6055
20192134,88,Male,Driver,75_or_older,P6056
20193193,49,Female,Motorcycle rider,40_to_64,P6057
20193140,57,Male,Motorcycle rider,40_to_64,P6058
20192051,85,Male,Driver,75_or_older,P6059
20197011,35,Male,Pedestrian,26_to_39,P6060
20192093,86,Male,Pedestrian,75_or_older,P6061
20191145,62,Male,Pedestrian,40_to_64,P6062
20192146,61,Male,Motorcycle rider,40_to_64,P6063
20194099,24,Male,Motorcycle rider,17_to_25,P6064
20191155,0,Male,Passenger,0_to_16,P6065
20192196,45,Male,Driver,40_to_64,P6066
20195151,19,Male,Driver,17_to_25,P6067
20192046,24,Male,Pedestrian,17_to_25,P6068
20192159,31,Male,Driver,26_to_39,P6069
20192221,40,Male,Driver,40_to_64,P6070
20193041,81,Male,Driver,75_or_older,P6071
20191123,49,Male,Pedal cyclist,40_to_64,P6072
20195065,41,Male,Motorcycle rider,40_to_64,P6073
20192017,89,Female,Driver,75_or_older,P6074
20192135,24,Male,Motorcycle rider,17_to_25,P6075
20192018,18,Male,Pedal cyclist,17_to_25,P6076
20191258,74,Female,Pedestrian,65_to_74,P6077
20191106,60,Male,Motorcycle rider,40_to_64,P6078
20191050,69,Male,Driver,65_to_74,P6079
20193081,28,Male,Driver,26_to_39,P6080
20191037,23,Male,Motorcycle rider,17_to_25,P6081
20191107,75,Male,Pedal cyclist,75_or_older,P6082
20191290,10,Female,Passenger,0_to_16,P6083
20192185,57,Male,Motorcycle rider,40_to_64,P6084
20193156,6,Male,Pedestrian,0_to_16,P6085
20192044,17,Female,Passenger,17_to_25,P6086
20191314,64,Male,Driver,40_to_64,P6087
20191100,70,Male,Pedestrian,65_to_74,P6088
20191047,47,Female,Driver,40_to_64,P6089
20192160,25,Male,Driver,17_to_25,P6090
20192012,26,Male,Motorcycle rider,26_to_39,P6091
20195048,24,Male,Motorcycle rider,17_to_25,P6092
20191159,47,Male,Motorcycle rider,40_to_64,P6093
20194044,46,Male,Motorcycle rider,40_to_64,P6094
20193003,44,Male,Motorcycle rider,40_to_64,P6095
20191220,44,Female,Driver,40_to_64,P6096
20192037,81,Female,Pedestrian,75_or_older,P6097
20191192,80,Male,Driver,75_or_older,P6098
20191192,80,Female,Passenger,75_or_older,P6099
20193171,61,Male,Driver,40_to_64,P6100
20195123,84,Female,Pedestrian,75_or_older,P6101
20195072,55,Male,Driver,40_to_64,P6102
20191005,35,Male,Driver,26_to_39,P6103
20192189,68,Male,Motorcycle rider,65_to_74,P6104
20191210,51,Male,Pedal cyclist,40_to_64,P6105
20191172,70,Male,Driver,65_to_74,P6106
20192058,15,Male,Pedal cyclist,0_to_16,P6107
20192043,28,Male,Motorcycle rider,26_to_39,P6108
20192200,27,Male,Pedestrian,26_to_39,P6109
20193091,49,Male,Pedal cyclist,40_to_64,P6110
20195138,30,Male,Driver,26_to_39,P6111
20196022,27,Female,Driver,26_to_39,P6112
20191271,32,Male,Motorcycle rider,26_to_39,P6113
20193014,87,Female,Pedestrian,75_or_older,P6114
20195050,58,Male,Driver,40_to_64,P6115
20192033,81,Male,Pedestrian,75_or_older,P6116
20191241,86,Male,Pedestrian,75_or_older,P6117
20195034,74,Male,Pedestrian,65_to_74,P6118
20191182,76,Male,Pedestrian,75_or_older,P6119
20196029,83,Male,Motorcycle rider,75_or_older,P6120
20192023,34,Male,Driver,26_to_39,P6121
20192023,63,Female,Driver,40_to_64,P6122
20191181,19,Male,Driver,17_to_25,P6123
20191025,39,Male,Driver,26_to_39,P6124
20191021,23,Female,Passenger,17_to_25,P6125
20191021,51,Male,Passenger,40_to_64,P6126
20192103,61,Female,Driver,40_to_64,P6127
20192040,24,Male,Motorcycle rider,17_to_25,P6128
20194017,67,Male,Pedestrian,65_to_74,P6129
20192220,87,Male,Driver,75_or_older,P6130
