crash_id,year,month,day_of_week,christmas_period,easter_period,weekday_or_weekend,date_id
20242053,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20243111,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20243067,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20242186,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20242250,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20243167,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20243106,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20242098,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20241179,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20242070,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20243261,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20243227,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20242243,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20242102,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20241109,2024,9,Thursday,No,No,Weekday,2024-9-Thursday
20243187,2024,9,Tuesday,No,No,Weekday,2024-9-Tuesday
20241301,2024,9,Tuesday,No,No,Weekday,2024-9-Tuesday
20243135,2024,9,Tuesday,No,No,Weekday,2024-9-Tuesday
20241248,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20243268,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20242071,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20241020,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20241294,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20241304,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20242123,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20242144,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20241199,2024,9,Wednesday,No,No,Weekday,2024-9-Wednesday
20243066,2024,8,Friday,No,No,Weekday,2024-8-Friday
20243233,2024,8,Friday,No,No,Weekday,2024-8-Friday
20243203,2024,8,Friday,No,No,Weekday,2024-8-Friday
20242209,2024,8,Friday,No,No,Weekday,2024-8-Friday
20242056,2024,8,Friday,No,No,Weekday,2024-8-Friday
20242130,2024,8,Friday,No,No,Weekday,2024-8-Friday
20243109,2024,8,Friday,No,No,Weekday,2024-8-Friday
20243010,2024,8,Friday,No,No,Weekday,2024-8-Friday
20243181,2024,8,Friday,No,No,Weekday,2024-8-Friday
20246018,2024,8,Friday,No,No,Weekday,2024-8-Friday
20241071,2024,8,Friday,No,No,Weekday,2024-8-Friday
20241186,2024,8,Friday,No,No,Weekday,2024-8-Friday
20243078,2024,8,Friday,No,No,Weekend,2024-8-Friday
20241223,2024,8,Friday,No,No,Weekend,2024-8-Friday
20241221,2024,8,Friday,No,No,Weekend,2024-8-Friday
20241143,2024,8,Friday,No,No,Weekend,2024-8-Friday
20243242,2024,8,Friday,No,No,Weekend,2024-8-Friday
20242189,2024,8,Monday,No,No,Weekend,2024-8-Monday
20242170,2024,8,Monday,No,No,Weekend,2024-8-Monday
20243043,2024,8,Monday,No,No,Weekday,2024-8-Monday
20241140,2024,8,Monday,No,No,Weekday,2024-8-Monday
20244063,2024,8,Monday,No,No,Weekday,2024-8-Monday
20241131,2024,8,Monday,No,No,Weekday,2024-8-Monday
20242172,2024,8,Monday,No,No,Weekday,2024-8-Monday
20241111,2024,8,Monday,No,No,Weekday,2024-8-Monday
20242055,2024,8,Monday,No,No,Weekday,2024-8-Monday
20241017,2024,8,Monday,No,No,Weekday,2024-8-Monday
20244067,2024,8,Monday,No,No,Weekday,2024-8-Monday
20246024,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20241254,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20243011,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20246011,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20242177,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20241127,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20241210,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20242132,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20242184,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20241253,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20243024,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20242224,2024,8,Saturday,No,No,Weekend,2024-8-Saturday
20243031,2024,8,Sunday,No,No,Weekend,2024-8-Sunday
20242069,2024,8,Sunday,No,No,Weekend,2024-8-Sunday
20243156,2024,8,Sunday,No,No,Weekend,2024-8-Sunday
20242251,2024,8,Sunday,No,No,Weekend,2024-8-Sunday
20244034,2024,8,Sunday,No,No,Weekend,2024-8-Sunday
20242090,2024,8,Sunday,No,No,Weekend,2024-8-Sunday
20243231,2024,8,Sunday,No,No,Weekend,2024-8-Sunday
20242194,2024,8,Sunday,No,No,Weekend,2024-8-Sunday
20243142,2024,8,Thursday,No,No,Weekday,2024-8-Thursday
20242043,2024,8,Thursday,No,No,Weekday,2024-8-Thursday
20243124,2024,8,Thursday,No,No,Weekday,2024-8-Thursday
20244007,2024,8,Thursday,No,No,Weekday,2024-8-Thursday
20242060,2024,8,Thursday,No,No,Weekday,2024-8-Thursday
20243104,2024,8,Thursday,No,No,Weekday,2024-8-Thursday
20244041,2024,8,Thursday,No,No,Weekday,2024-8-Thursday
20246026,2024,8,Thursday,No,No,Weekday,2024-8-Thursday
20243021,2024,8,Tuesday,No,No,Weekday,2024-8-Tuesday
20242155,2024,8,Tuesday,No,No,Weekday,2024-8-Tuesday
20242032,2024,8,Tuesday,No,No,Weekday,2024-8-Tuesday
20241285,2024,8,Tuesday,No,No,Weekday,2024-8-Tuesday
20244066,2024,8,Tuesday,No,No,Weekday,2024-8-Tuesday
20242064,2024,8,Tuesday,No,No,Weekday,2024-8-Tuesday
20242164,2024,8,Tuesday,No,No,Weekday,2024-8-Tuesday
20244035,2024,8,Tuesday,No,No,Weekday,2024-8-Tuesday
20243018,2024,8,Wednesday,No,No,Weekday,2024-8-Wednesday
20242086,2024,8,Wednesday,No,No,Weekday,2024-8-Wednesday
20243217,2024,8,Wednesday,No,No,Weekday,2024-8-Wednesday
20243251,2024,8,Wednesday,No,No,Weekday,2024-8-Wednesday
20243058,2024,8,Wednesday,No,No,Weekday,2024-8-Wednesday
20244046,2024,8,Wednesday,No,No,Weekday,2024-8-Wednesday
20243085,2024,7,Friday,No,No,Weekday,2024-7-Friday
20244039,2024,7,Friday,No,No,Weekday,2024-7-Friday
20243240,2024,7,Friday,No,No,Weekday,2024-7-Friday
20246002,2024,7,Friday,No,No,Weekday,2024-7-Friday
20242099,2024,7,Friday,No,No,Weekday,2024-7-Friday
20243063,2024,7,Friday,No,No,Weekday,2024-7-Friday
20241176,2024,7,Friday,No,No,Weekday,2024-7-Friday
20247022,2024,7,Friday,No,No,Weekday,2024-7-Friday
20241086,2024,7,Friday,No,No,Weekday,2024-7-Friday
20241224,2024,7,Friday,No,No,Weekend,2024-7-Friday
20241265,2024,7,Monday,No,No,Weekday,2024-7-Monday
20241202,2024,7,Monday,No,No,Weekday,2024-7-Monday
20246023,2024,7,Monday,No,No,Weekday,2024-7-Monday
20241293,2024,7,Monday,No,No,Weekday,2024-7-Monday
20241299,2024,7,Monday,No,No,Weekday,2024-7-Monday
20244078,2024,7,Monday,No,No,Weekday,2024-7-Monday
20243164,2024,7,Monday,No,No,Weekday,2024-7-Monday
