crash_id,person_id
20243181,20243181_Motorcycle rider_Male_23_17_to_25
20246018,20246018_Driver_Female_54_40_to_64
20241071,20241071_Pedestrian_Female_63_40_to_64
20241186,20241186_Pedestrian_Male_13_0_to_16
20243078,20243078_Motorcycle rider_Male_29_26_to_39
20241223,20241223_Pedestrian_Male_56_40_to_64
20241221,20241221_Driver_Male_44_40_to_64
20241143,20241143_Driver_Male_17_17_to_25
20243242,20243242_Driver_Male_53_40_to_64
20242189,20242189_Driver_Female_23_17_to_25
20242170,20242170_Driver_Female_53_40_to_64
20243043,20243043_Driver_Male_56_40_to_64
20241140,20241140_Driver_Male_19_17_to_25
20244063,20244063_Motorcycle rider_Male_78_75_or_older
20241131,20241131_Motorcycle rider_Male_70_65_to_74
20242172,20242172_Pedal cyclist_Male_42_40_to_64
20241111,20241111_Driver_Male_31_26_to_39
20242055,20242055_Pedestrian_Male_66_65_to_74
20241017,20241017_Motorcycle pillion passenger_Male_20_17_to_25
20244067,20244067_Pedestrian_Male_49_40_to_64
20246024,20246024_Pedestrian_Male_61_40_to_64
20241254,20241254_Motorcycle pillion passenger_Male_20_17_to_25
20241254,20241254_Motorcycle rider_Male_21_17_to_25
20243011,20243011_Motorcycle rider_Male_69_65_to_74
20246011,20246011_Driver_Female_80_75_or_older
20242177,20242177_Pedestrian_Female_68_65_to_74
20241127,20241127_Driver_Male_52_40_to_64
20241210,20241210_Passenger_Female_81_75_or_older
20242132,20242132_Driver_Male_46_40_to_64
20242132,20242132_Passenger_Male_37_26_to_39
20242184,20242184_Passenger_Male_6_0_to_16
20241253,20241253_Driver_Male_23_17_to_25
20243024,20243024_Motorcycle rider_Male_34_26_to_39
20242224,20242224_Driver_Male_25_17_to_25
20243031,20243031_Driver_Male_21_17_to_25
20242069,20242069_Motorcycle rider_Male_19_17_to_25
20243156,20243156_Motorcycle rider_Male_32_26_to_39
20242251,20242251_Pedestrian_Female_43_40_to_64
20244034,20244034_Pedal cyclist_Male_49_40_to_64
20242090,20242090_Motorcycle rider_Male_34_26_to_39
20243231,20243231_Passenger_Female_35_26_to_39
20243231,20243231_Passenger_Female_60_40_to_64
20243231,20243231_Passenger_Male_28_26_to_39
20242194,20242194_Driver_Male_50_40_to_64
20243142,20243142_Driver_Male_73_65_to_74
20242043,20242043_Pedal cyclist_Female_68_65_to_74
20243124,20243124_Driver_Male_72_65_to_74
20244007,20244007_Motorcycle rider_Male_78_75_or_older
20242060,20242060_Pedestrian_Male_79_75_or_older
20243104,20243104_Pedestrian_Female_37_26_to_39
20244041,20244041_Driver_Female_37_26_to_39
20246026,20246026_Driver_Male_20_17_to_25
20243021,20243021_Driver_Male_29_26_to_39
20242155,20242155_Driver_Male_63_40_to_64
20242032,20242032_Pedestrian_Male_35_26_to_39
20241285,20241285_Motorcycle rider_Male_69_65_to_74
20244066,20244066_Pedestrian_Male_52_40_to_64
20242064,20242064_Pedal cyclist_Male_27_26_to_39
20242164,20242164_Motorcycle rider_Male_22_17_to_25
20244035,20244035_Driver_Male_75_75_or_older
20243018,20243018_Motorcycle rider_Male_47_40_to_64
20242086,20242086_Motorcycle rider_Male_51_40_to_64
20243217,20243217_Pedestrian_Male_67_65_to_74
20243251,20243251_Passenger_Female_36_26_to_39
20243058,20243058_Passenger_Female_3_0_to_16
20244046,20244046_Driver_Male_47_40_to_64
20243085,20243085_Pedestrian_Male_70_65_to_74
20244039,20244039_Driver_Male_38_26_to_39
20243240,20243240_Driver_Male_79_75_or_older
20246002,20246002_Driver_Male_24_17_to_25
20246002,20246002_Passenger_Male_27_26_to_39
20242099,20242099_Passenger_Female_68_65_to_74
20242099,20242099_Driver_Male_65_65_to_74
20243063,20243063_Motorcycle rider_Male_30_26_to_39
20241176,20241176_Motorcycle rider_Male_31_26_to_39
20247022,20247022_Driver_Male_28_26_to_39
20241086,20241086_Pedestrian_Male_50_40_to_64
20241224,20241224_Passenger_Male_16_0_to_16
20241265,20241265_Motorcycle rider_Male_27_26_to_39
20241202,20241202_Pedestrian_Female_96_75_or_older
20246023,20246023_Driver_Male_59_40_to_64
20241293,20241293_Driver_Male_55_40_to_64
20241299,20241299_Driver_Male_60_40_to_64
20244078,20244078_Pedestrian_Male_80_75_or_older
20243164,20243164_Pedestrian_Male_57_40_to_64
20242201,20242201_Motorcycle rider_Male_54_40_to_64
20241307,20241307_Driver_Male_43_40_to_64
20242074,20242074_Driver_Male_23_17_to_25
20242074,20242074_Driver_Male_59_40_to_64
20241243,20241243_Driver_Male_25_17_to_25
20241243,20241243_Driver_Male_63_40_to_64
20247034,20247034_Pedestrian_Female_20_17_to_25
20241260,20241260_Driver_Male_20_17_to_25
20243004,20243004_Driver_Male_34_26_to_39
20246014,20246014_Motorcycle rider_Male_23_17_to_25
20246014,20246014_Motorcycle rider_Male_30_26_to_39
20242024,20242024_Driver_Male_75_75_or_older
20243169,20243169_Motorcycle rider_Male_71_65_to_74
20243081,20243081_Driver_Male_78_75_or_older
20243081,20243081_Driver_Male_55_40_to_64
20242169,20242169_Driver_Male_61_40_to_64
