crashID,dayType,timeOfDay
20243258,Weekday,Day
20244053,Weekday,Day
20241064,Weekday,Day
20243175,Weekday,Day
20243183,Weekday,Night
20241049,Weekday,Night
20241242,Weekday,Day
20241144,Weekday,Day
20243262,Weekday,Day
20241001,Weekday,Day
20242231,Weekday,Day
20241018,Weekday,Day
20241105,Weekday,Day
20241282,Weekday,Day
20243204,Weekend,Night
20243224,Weekend,Night
20243179,Weekend,Night
20241192,Weekend,Night
20241026,Weekday,Day
20241067,Weekday,Day
20242001,Weekday,Day
20243013,Weekday,Day
20241191,Weekday,Day
20242031,Weekday,Night
20241117,Weekday,Night
20246020,Weekday,Night
20241012,Weekend,Night
20242263,Weekend,Day
20242038,Weekend,Day
20246005,Weekend,Day
20244030,Weekend,Night
20242061,Weekend,Night
20244036,Weekend,Night
20242134,Weekend,Night
20243060,Weekend,Day
20242002,Weekend,Day
20243057,Weekend,Day
20243166,Weekend,Day
20242203,Weekend,Day
20243196,Weekend,Night
20241214,Weekend,Night
20242083,Weekday,Night
20241272,Weekday,Night
20241104,Weekday,Night
20243182,Weekday,Day
20242180,Weekday,Day
20242126,Weekday,Day
20241023,Weekday,Day
20243065,Weekday,Day
20243083,Weekday,Day
20244070,Weekday,Day
20243048,Weekday,Day
20241280,Weekday,Day
20242118,Weekday,Night
20241193,Weekday,Day
20242150,Weekday,Day
20241239,Weekday,Day
20242111,Weekday,Day
20243255,Weekday,Night
20241033,Weekday,Night
20241288,Weekday,Night
20243012,Weekday,Day
20241164,Weekday,Day
20243250,Weekday,Day
20242076,Weekday,Day
20241099,Weekday,Day
20243052,Weekday,Day
20241015,Weekday,Day
20243219,Weekday,Day
20241184,Weekday,Day
20241284,Weekday,Night
20242218,Weekday,Night
20241008,Weekday,Night
20244075,Weekday,Night
20242147,Weekday,Night
20248010,Weekday,Night
20234108,Weekday,Night
20234099,Weekday,Night
20233145,Weekday,Day
20236026,Weekday,Day
20233259,Weekday,Day
20236028,Weekday,Day
20231088,Weekday,Day
20231189,Weekday,Day
20232156,Weekday,Day
20233100,Weekday,Day
20231103,Weekday,Day
20232192,Weekday,Day
20233056,Weekend,Night
20231091,Weekend,Night
20232211,Weekday,Day
20231104,Weekday,Day
20231155,Weekday,Day
20232098,Weekday,Day
20232128,Weekday,Day
20233085,Weekday,Day
20234027,Weekday,Day
20232061,Weekday,Day
20234033,Weekday,Night
20232044,Weekday,Night
20232250,Weekday,Night
20233231,Weekend,Night
20231020,Weekend,Night
20231115,Weekend,Day
20231038,Weekend,Day
20231108,Weekend,Day
20231281,Weekend,Day
20233078,Weekend,Day
20231261,Weekend,Day
