crash_id,state_code
20232212,VIC
20231235,NSW
20233219,QLD
20232151,VIC
20233010,QLD
20231058,NSW
20236015,TAS
20232070,VIC
20234054,SA
20237002,NT
20232206,VIC
20234090,SA
20231049,NSW
20232220,VIC
20231134,NSW
20234041,SA
20233217,QLD
20231239,NSW
20231202,NSW
20234009,SA
20233194,QLD
20233187,QLD
20231105,NSW
20232134,VIC
20231077,NSW
20231031,NSW
20234065,SA
20232091,VIC
20236023,TAS
20234024,SA
20232010,VIC
20233077,QLD
20231094,NSW
20231055,NSW
20231270,NSW
20231246,NSW
20231275,NSW
20237020,NT
20234100,SA
20234073,SA
20233220,QLD
20236002,TAS
20231110,NSW
20233028,QLD
20234074,SA
20233168,QLD
20234047,SA
20233171,QLD
20233055,QLD
20232109,VIC
20234049,SA
20231114,NSW
20231093,NSW
20234050,SA
20231130,NSW
20233261,QLD
20233218,QLD
20231257,NSW
20233159,QLD
20231112,NSW
20233096,QLD
20231121,NSW
20232011,VIC
20231237,NSW
20231096,NSW
20233202,QLD
20231017,NSW
20232229,VIC
20233216,QLD
20231169,NSW
20231181,NSW
20231215,NSW
20231199,NSW
20236030,TAS
20234092,SA
20231212,NSW
20234040,SA
20231208,NSW
20231069,NSW
20232149,VIC
20233082,QLD
20232140,VIC
20232167,VIC
20232075,VIC
20234028,SA
20231276,NSW
20234072,SA
20234075,SA
20232053,VIC
20233037,QLD
20233048,QLD
20234014,SA
20232055,VIC
20232148,VIC
20232060,VIC
20232162,VIC
20232100,VIC
20232233,VIC
20236033,TAS
20232105,VIC
20232013,VIC
20233225,QLD
20232221,VIC
20233147,QLD
20234076,SA
20232176,VIC
20231006,NSW
20233023,QLD
20233182,QLD
20232132,VIC
20232160,VIC
20232036,VIC
20233041,QLD
20232179,VIC
20232041,VIC
20232253,VIC
20233080,QLD
20231197,NSW
20233124,QLD
20233236,QLD
20231213,NSW
20234081,SA
20231041,NSW
20233101,QLD
20232155,VIC
20231282,NSW
20234103,SA
20234097,SA
20232003,VIC
20231196,NSW
20232078,VIC
20233149,QLD
20232164,VIC
20231001,NSW
20231060,NSW
20233188,QLD
20233129,QLD
20232161,VIC
20233003,QLD
20231166,NSW
20232234,VIC
