state,sa4Name,lgaName,nationalRemoteness,nationalRoadType,locationID
VIC,Melbourne - North East,Darebin,Major Cities of Australia,Local Road,VIC_Darebin_Melbourne___North_East
QLD,Ipswich,Ipswich,Major Cities of Australia,Local Road,QLD_Ipswich_Ipswich
VIC,Geelong,Greater Geelong,Major Cities of Australia,Sub-arterial Road,VIC_Greater_Geelong_Geelong
SA,Adelaide - Central and Hills,Adelaide Hills,Major Cities of Australia,Collector Road,SA_Adelaide_Hills_Adelaide___Central_and_Hills
VIC,Melbourne - South East,Cardinia,Major Cities of Australia,National or State Highway,VIC_Cardinia_Melbourne___South_East
QLD,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,Sub-arterial Road,QLD_Whitsunday_Mackay___Isaac___Whitsunday
VIC,Hume,Mitchell,Inner Regional Australia,Collector Road,VIC_Mitchell_Hume
VIC,Melbourne - West,Wyndham,Major Cities of Australia,Local Road,VIC_Wyndham_Melbourne___West
SA,Adelaide - South,Onkaparinga,Inner Regional Australia,Collector Road,SA_Onkaparinga_Adelaide___South
VIC,Melbourne - Inner South,Stonnington,Major Cities of Australia,Sub-arterial Road,VIC_Stonnington_Melbourne___Inner_South
SA,South Australia - Outback,Unincorporated SA,Very Remote Australia,National or State Highway,SA_Unincorporated_SA_South_Australia___Outback
TAS,Launceston and North East,Launceston,Outer Regional Australia,Collector Road,TAS_Launceston_Launceston_and_North_East
VIC,Hume,Indigo,Inner Regional Australia,National or State Highway,VIC_Indigo_Hume
VIC,Melbourne - Inner,Yarra,Major Cities of Australia,Arterial Road,VIC_Yarra_Melbourne___Inner
NSW,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road,NSW_Canterbury_Bankstown_Sydney___Inner_South_West
VIC,Melbourne - Inner,Port Phillip,Major Cities of Australia,Collector Road,VIC_Port_Phillip_Melbourne___Inner
VIC,Melbourne - South East,Cardinia,Major Cities of Australia,Arterial Road,VIC_Cardinia_Melbourne___South_East
VIC,Mornington Peninsula,Frankston,Major Cities of Australia,Arterial Road,VIC_Frankston_Mornington_Peninsula
QLD,Cairns,Cassowary Coast,Outer Regional Australia,Sub-arterial Road,QLD_Cassowary_Coast_Cairns
QLD,Ipswich,Scenic Rim,Inner Regional Australia,National or State Highway,QLD_Scenic_Rim_Ipswich
QLD,Central Queensland,Gladstone,Outer Regional Australia,Sub-arterial Road,QLD_Gladstone_Central_Queensland
QLD,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Sub-arterial Road,QLD_Mackay_Mackay___Isaac___Whitsunday
TAS,West and North West,Waratah-Wynyard,Outer Regional Australia,National or State Highway,TAS_Waratah_Wynyard_West_and_North_West
VIC,Shepparton,Campaspe,Inner Regional Australia,National or State Highway,VIC_Campaspe_Shepparton
QLD,Logan - Beaudesert,Logan,Major Cities of Australia,Collector Road,QLD_Logan_Logan___Beaudesert
NT,Northern Territory - Outback,Barkly,Very Remote Australia,National or State Highway,NT_Barkly_Northern_Territory___Outback
NSW,Sydney - Parramatta,Blacktown,Major Cities of Australia,National or State Highway,NSW_Blacktown_Sydney___Parramatta
NSW,Central West,Forbes,Outer Regional Australia,National or State Highway,NSW_Forbes_Central_West
NSW,Central West,Blayney,Inner Regional Australia,National or State Highway,NSW_Blayney_Central_West
SA,Adelaide - Central and Hills,Campbelltown (SA),Major Cities of Australia,Collector Road,SA_Campbelltown_(SA)_Adelaide___Central_and_Hills
VIC,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Local Road,VIC_Latrobe_(Vic.)_Latrobe___Gippsland
NSW,Central West,Lithgow,Inner Regional Australia,Sub-arterial Road,NSW_Lithgow_Central_West
VIC,Geelong,Surf Coast,Inner Regional Australia,Sub-arterial Road,VIC_Surf_Coast_Geelong
NT,Darwin,Palmerston,Outer Regional Australia,Sub-arterial Road,NT_Palmerston_Darwin
NSW,New England and North West,Gunnedah,Outer Regional Australia,Local Road,NSW_Gunnedah_New_England_and_North_West
QLD,Townsville,Townsville,Outer Regional Australia,National or State Highway,QLD_Townsville_Townsville
TAS,Launceston and North East,Break O'Day,Outer Regional Australia,Access road,TAS_Break_O'Day_Launceston_and_North_East
