state,sa4Name,lgaName,nationalRemoteness,nationalRoadType,locationID
SA,Barossa - Yorke - Mid North,Light,Inner Regional Australia,National or State Highway,SA_Light_Barossa___Yorke___Mid_North
VIC,North West,Mildura,Outer Regional Australia,Arterial Road,VIC_Mildura_North_West
NSW,Sydney - Sutherland,Sutherland,Major Cities of Australia,Collector Road,NSW_Sutherland_Sydney___Sutherland
VIC,Ballarat,Moorabool,Inner Regional Australia,Access road,VIC_Moorabool_Ballarat
TAS,West and North West,Burnie,Outer Regional Australia,Sub-arterial Road,TAS_Burnie_West_and_North_West
TAS,West and North West,Central Coast (Tas.),Outer Regional Australia,Local Road,TAS_Central_Coast_(Tas.)_West_and_North_West
VIC,Melbourne - Inner,Melbourne,Major Cities of Australia,Sub-arterial Road,VIC_Melbourne_Melbourne___Inner
NSW,Sydney - Inner West,Burwood,Major Cities of Australia,Local Road,NSW_Burwood_Sydney___Inner_West
QLD,Sunshine Coast,Noosa,Major Cities of Australia,Local Road,QLD_Noosa_Sunshine_Coast
SA,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Arterial Road,SA_Barossa_Barossa___Yorke___Mid_North
NSW,Sydney - City and Inner South,Inner West,Major Cities of Australia,Collector Road,NSW_Inner_West_Sydney___City_and_Inner_South
VIC,Melbourne - South East,Cardinia,Major Cities of Australia,Access road,VIC_Cardinia_Melbourne___South_East
NSW,Capital Region,Hilltops,Outer Regional Australia,Arterial Road,NSW_Hilltops_Capital_Region
NT,Northern Territory - Outback,Unincorporated NT,Remote Australia,Access road,NT_Unincorporated_NT_Northern_Territory___Outback
NT,Northern Territory - Outback,West Arnhem,Remote Australia,Arterial Road,NT_West_Arnhem_Northern_Territory___Outback
VIC,Melbourne - Inner,Yarra,Major Cities of Australia,Sub-arterial Road,VIC_Yarra_Melbourne___Inner
VIC,Melbourne - Inner South,Glen Eira,Major Cities of Australia,Sub-arterial Road,VIC_Glen_Eira_Melbourne___Inner_South
SA,Barossa - Yorke - Mid North,Port Pirie,Outer Regional Australia,National or State Highway,SA_Port_Pirie_Barossa___Yorke___Mid_North
QLD,Central Queensland,Central Highlands (Qld),Outer Regional Australia,Local Road,QLD_Central_Highlands_(Qld)_Central_Queensland
NSW,Murray,Wentworth,Outer Regional Australia,National or State Highway,NSW_Wentworth_Murray
NSW,Murray,Federation,Inner Regional Australia,National or State Highway,NSW_Federation_Murray
VIC,Melbourne - North West,Merri-bek,Major Cities of Australia,Arterial Road,VIC_Merri_bek_Melbourne___North_West
NSW,Sydney - Parramatta,Canterbury-Bankstown,Major Cities of Australia,Local Road,NSW_Canterbury_Bankstown_Sydney___Parramatta
TAS,West and North West,King Island,Very Remote Australia,Arterial Road,TAS_King_Island_West_and_North_West
TAS,Hobart,Glenorchy,Inner Regional Australia,Local Road,TAS_Glenorchy_Hobart
NT,Darwin,Palmerston,Outer Regional Australia,Arterial Road,NT_Palmerston_Darwin
VIC,Melbourne - Inner,Port Phillip,Major Cities of Australia,Arterial Road,VIC_Port_Phillip_Melbourne___Inner
SA,South Australia - South East,Kangaroo Island,Remote Australia,Local Road,SA_Kangaroo_Island_South_Australia___South_East
VIC,Melbourne - Inner,Merri-bek,Major Cities of Australia,Local Road,VIC_Merri_bek_Melbourne___Inner
NSW,New England and North West,Gwydir,Outer Regional Australia,Arterial Road,NSW_Gwydir_New_England_and_North_West
VIC,Melbourne - North East,Whittlesea,Major Cities of Australia,National or State Highway,VIC_Whittlesea_Melbourne___North_East
SA,South Australia - South East,Kangaroo Island,Remote Australia,Sub-arterial Road,SA_Kangaroo_Island_South_Australia___South_East
TAS,Launceston and North East,Meander Valley,Inner Regional Australia,National or State Highway,TAS_Meander_Valley_Launceston_and_North_East
TAS,West and North West,Waratah-Wynyard,Outer Regional Australia,Collector Road,TAS_Waratah_Wynyard_West_and_North_West
VIC,Shepparton,Moira,Inner Regional Australia,Sub-arterial Road,VIC_Moira_Shepparton
NSW,New England and North West,Uralla,Inner Regional Australia,Local Road,NSW_Uralla_New_England_and_North_West
SA,Adelaide - South,Holdfast Bay,Major Cities of Australia,Arterial Road,SA_Holdfast_Bay_Adelaide___South
NSW,Richmond - Tweed,Tweed,Inner Regional Australia,Sub-arterial Road,NSW_Tweed_Richmond___Tweed
VIC,Hume,Wodonga,Inner Regional Australia,National or State Highway,VIC_Wodonga_Hume
QLD,Cairns,Douglas,Remote Australia,Collector Road,QLD_Douglas_Cairns
VIC,Bendigo,Greater Bendigo,Inner Regional Australia,Arterial Road,VIC_Greater_Bendigo_Bendigo
NT,Darwin,Darwin,Outer Regional Australia,Local Road,NT_Darwin_Darwin
NSW,Murray,Berrigan,Inner Regional Australia,National or State Highway,NSW_Berrigan_Murray
QLD,Townsville,Charters Towers,Outer Regional Australia,National or State Highway,QLD_Charters_Towers_Townsville
NSW,Riverina,Carrathool,Remote Australia,Arterial Road,NSW_Carrathool_Riverina
NSW,Capital Region,Eurobodalla,Inner Regional Australia,Arterial Road,NSW_Eurobodalla_Capital_Region
TAS,West and North West,Devonport,Outer Regional Australia,Arterial Road,TAS_Devonport_West_and_North_West
VIC,North West,Ararat,Outer Regional Australia,Sub-arterial Road,VIC_Ararat_North_West
VIC,Melbourne - North East,Murrindindi,Inner Regional Australia,Access road,VIC_Murrindindi_Melbourne___North_East
VIC,Hume,Strathbogie,Inner Regional Australia,Sub-arterial Road,VIC_Strathbogie_Hume
QLD,Central Queensland,Gladstone,Inner Regional Australia,Local Road,QLD_Gladstone_Central_Queensland
NSW,Far West and Orana,Bogan,Remote Australia,Sub-arterial Road,NSW_Bogan_Far_West_and_Orana
QLD,Sunshine Coast,Noosa,Inner Regional Australia,Collector Road,QLD_Noosa_Sunshine_Coast
NSW,Riverina,Junee,Inner Regional Australia,Arterial Road,NSW_Junee_Riverina
VIC,Melbourne - North East,Murrindindi,Inner Regional Australia,Local Road,VIC_Murrindindi_Melbourne___North_East
VIC,Hume,Alpine,Outer Regional Australia,National or State Highway,VIC_Alpine_Hume
NSW,Far West and Orana,Gilgandra,Outer Regional Australia,Sub-arterial Road,NSW_Gilgandra_Far_West_and_Orana
NSW,Far West and Orana,Brewarrina,Very Remote Australia,National or State Highway,NSW_Brewarrina_Far_West_and_Orana
NSW,Sydney - Outer West and Blue Mountains,Wollondilly,Inner Regional Australia,Sub-arterial Road,NSW_Wollondilly_Sydney___Outer_West_and_Blue_Mountains
NT,Northern Territory - Outback,East Arnhem,Very Remote Australia,Sub-arterial Road,NT_East_Arnhem_Northern_Territory___Outback
SA,South Australia - Outback,Port Lincoln,Remote Australia,Sub-arterial Road,SA_Port_Lincoln_South_Australia___Outback
QLD,Queensland - Outback,Carpentaria,Very Remote Australia,Collector Road,QLD_Carpentaria_Queensland___Outback
SA,South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Sub-arterial Road,SA_Naracoorte_Lucindale_South_Australia___South_East
SA,Adelaide - North,Light,Inner Regional Australia,Sub-arterial Road,SA_Light_Adelaide___North
NSW,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Local Road,NSW_Newcastle_Newcastle_and_Lake_Macquarie
NSW,Sydney - South West,Camden,Major Cities of Australia,Local Road,NSW_Camden_Sydney___South_West
TAS,Launceston and North East,Northern Midlands,Outer Regional Australia,Sub-arterial Road,TAS_Northern_Midlands_Launceston_and_North_East
TAS,Hobart,Glenorchy,Inner Regional Australia,National or State Highway,TAS_Glenorchy_Hobart
NSW,Capital Region,Queanbeyan-Palerang,Outer Regional Australia,Arterial Road,NSW_Queanbeyan_Palerang_Capital_Region
NSW,Sydney - Eastern Suburbs,Waverley,Major Cities of Australia,Collector Road,NSW_Waverley_Sydney___Eastern_Suburbs
QLD,Queensland - Outback,Longreach,Very Remote Australia,National or State Highway,QLD_Longreach_Queensland___Outback
NSW,Newcastle and Lake Macquarie,Maitland,Major Cities of Australia,National or State Highway,NSW_Maitland_Newcastle_and_Lake_Macquarie
VIC,Warrnambool and South West,Colac Otway,Inner Regional Australia,Sub-arterial Road,VIC_Colac_Otway_Warrnambool_and_South_West
VIC,Warrnambool and South West,Colac Otway,Outer Regional Australia,Arterial Road,VIC_Colac_Otway_Warrnambool_and_South_West
SA,South Australia - Outback,Lower Eyre Peninsula,Remote Australia,Local Road,SA_Lower_Eyre_Peninsula_South_Australia___Outback
VIC,Geelong,Greater Geelong,Major Cities of Australia,Arterial Road,VIC_Greater_Geelong_Geelong
QLD,Wide Bay,Gympie,Outer Regional Australia,Sub-arterial Road,QLD_Gympie_Wide_Bay
VIC,Melbourne - North West,Merri-bek,Major Cities of Australia,National or State Highway,VIC_Merri_bek_Melbourne___North_West
VIC,Hume,Alpine,Inner Regional Australia,National or State Highway,VIC_Alpine_Hume
VIC,North West,Northern Grampians,Inner Regional Australia,Arterial Road,VIC_Northern_Grampians_North_West
NSW,Mid North Coast,Mid-Coast,Inner Regional Australia,Local Road,NSW_Mid_Coast_Mid_North_Coast
NT,Northern Territory - Outback,MacDonnell,Remote Australia,Arterial Road,NT_MacDonnell_Northern_Territory___Outback
SA,Adelaide - Central and Hills,Adelaide Hills,Major Cities of Australia,Local Road,SA_Adelaide_Hills_Adelaide___Central_and_Hills
NSW,Capital Region,Hilltops,Inner Regional Australia,Local Road,NSW_Hilltops_Capital_Region
VIC,Melbourne - Inner East,Whitehorse,Major Cities of Australia,Sub-arterial Road,VIC_Whitehorse_Melbourne___Inner_East
VIC,Bendigo,Loddon,Inner Regional Australia,Sub-arterial Road,VIC_Loddon_Bendigo
WA,Western Australia - Wheat Belt,York,Inner Regional Australia,Arterial Road,WA_York_Western_Australia___Wheat_Belt
QLD,Toowoomba,Toowoomba,Inner Regional Australia,Access road,QLD_Toowoomba_Toowoomba
VIC,Melbourne - Inner South,Stonnington,Major Cities of Australia,National or State Highway,VIC_Stonnington_Melbourne___Inner_South
QLD,Gold Coast,Gold Coast,Inner Regional Australia,Access road,QLD_Gold_Coast_Gold_Coast
NT,Northern Territory - Outback,West Arnhem,Remote Australia,Sub-arterial Road,NT_West_Arnhem_Northern_Territory___Outback
NSW,New England and North West,Inverell,Outer Regional Australia,Local Road,NSW_Inverell_New_England_and_North_West
NSW,Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,Sub-arterial Road,NSW_Cessnock_Hunter_Valley_exc_Newcastle
WA,Perth - South West,Rockingham,Major Cities of Australia,Arterial Road,WA_Rockingham_Perth___South_West
WA,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,National or State Highway,WA_Plantagenet_Western_Australia___Wheat_Belt
SA,Barossa - Yorke - Mid North,Yorke Peninsula,Outer Regional Australia,Arterial Road,SA_Yorke_Peninsula_Barossa___Yorke___Mid_North
WA,Perth - South West,Kwinana,Major Cities of Australia,National or State Highway,WA_Kwinana_Perth___South_West
NSW,Far West and Orana,Dubbo,Inner Regional Australia,Local Road,NSW_Dubbo_Far_West_and_Orana
WA,Mandurah,Murray,Inner Regional Australia,Local Road,WA_Murray_Mandurah
WA,Western Australia - Wheat Belt,Dumbleyung,Remote Australia,Arterial Road,WA_Dumbleyung_Western_Australia___Wheat_Belt
WA,Western Australia - Outback (North),Port Hedland,Remote Australia,Local Road,WA_Port_Hedland_Western_Australia___Outback_(North)
TAS,Hobart,Derwent Valley,Inner Regional Australia,Arterial Road,TAS_Derwent_Valley_Hobart
NSW,Riverina,Coolamon,Inner Regional Australia,Arterial Road,NSW_Coolamon_Riverina
VIC,Hume,Benalla,Inner Regional Australia,Sub-arterial Road,VIC_Benalla_Hume
WA,Perth - North West,Stirling,Major Cities of Australia,Local Road,WA_Stirling_Perth___North_West
SA,South Australia - South East,Robe,Outer Regional Australia,Arterial Road,SA_Robe_South_Australia___South_East
WA,Perth - Inner,Cambridge,Major Cities of Australia,National or State Highway,WA_Cambridge_Perth___Inner
QLD,Darling Downs - Maranoa,Maranoa,Outer Regional Australia,Local Road,QLD_Maranoa_Darling_Downs___Maranoa
NSW,Illawarra,Shellharbour,Major Cities of Australia,Local Road,NSW_Shellharbour_Illawarra
WA,Perth - North West,Wanneroo,Major Cities of Australia,National or State Highway,WA_Wanneroo_Perth___North_West
WA,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,Local Road,WA_Plantagenet_Western_Australia___Wheat_Belt
QLD,Moreton Bay - North,Somerset,Inner Regional Australia,National or State Highway,QLD_Somerset_Moreton_Bay___North
TAS,West and North West,Central Coast (Tas.),Outer Regional Australia,Sub-arterial Road,TAS_Central_Coast_(Tas.)_West_and_North_West
NSW,Murray,Albury,Inner Regional Australia,Local Road,NSW_Albury_Murray
NSW,Richmond - Tweed,Richmond Valley,Outer Regional Australia,Local Road,NSW_Richmond_Valley_Richmond___Tweed
VIC,Ballarat,Moorabool,Inner Regional Australia,Local Road,VIC_Moorabool_Ballarat
NSW,New England and North West,Uralla,Inner Regional Australia,Arterial Road,NSW_Uralla_New_England_and_North_West
WA,Perth - South East,Gosnells,Major Cities of Australia,National or State Highway,WA_Gosnells_Perth___South_East
WA,Western Australia - Wheat Belt,Dandaragan,Outer Regional Australia,National or State Highway,WA_Dandaragan_Western_Australia___Wheat_Belt
NSW,Sydney - Ryde,The Hills,Major Cities of Australia,National or State Highway,NSW_The_Hills_Sydney___Ryde
WA,Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia,Arterial Road,WA_Serpentine_Jarrahdale_Perth___South_East
TAS,South East,Southern Midlands,Outer Regional Australia,Sub-arterial Road,TAS_Southern_Midlands_South_East
QLD,Wide Bay,North Burnett,Outer Regional Australia,Local Road,QLD_North_Burnett_Wide_Bay
SA,South Australia - South East,Grant,Outer Regional Australia,National or State Highway,SA_Grant_South_Australia___South_East
WA,Mandurah,Mandurah,Major Cities of Australia,Local Road,WA_Mandurah_Mandurah
WA,Perth - North West,Wanneroo,Major Cities of Australia,Local Road,WA_Wanneroo_Perth___North_West
NSW,Murray,Balranald,Remote Australia,National or State Highway,NSW_Balranald_Murray
VIC,Latrobe - Gippsland,South Gippsland,Outer Regional Australia,National or State Highway,VIC_South_Gippsland_Latrobe___Gippsland
SA,South Australia - South East,Wattle Range,Outer Regional Australia,Arterial Road,SA_Wattle_Range_South_Australia___South_East
NSW,Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Local Road,NSW_Bayside_(NSW)_Sydney___Inner_South_West
SA,South Australia - South East,Southern Mallee,Outer Regional Australia,Local Road,SA_Southern_Mallee_South_Australia___South_East
VIC,Warrnambool and South West,Colac Otway,Inner Regional Australia,Local Road,VIC_Colac_Otway_Warrnambool_and_South_West
VIC,Bendigo,Loddon,Inner Regional Australia,National or State Highway,VIC_Loddon_Bendigo
WA,Western Australia - Wheat Belt,Woodanilling,Outer Regional Australia,Local Road,WA_Woodanilling_Western_Australia___Wheat_Belt
NSW,Central West,Warrumbungle,Outer Regional Australia,National or State Highway,NSW_Warrumbungle_Central_West
NSW,Central West,Forbes,Outer Regional Australia,Sub-arterial Road,NSW_Forbes_Central_West
WA,Western Australia - Wheat Belt,Dowerin,Outer Regional Australia,Local Road,WA_Dowerin_Western_Australia___Wheat_Belt
WA,Western Australia - Outback (South),Kalgoorlie-Boulder,Outer Regional Australia,National or State Highway,WA_Kalgoorlie_Boulder_Western_Australia___Outback_(South)
VIC,Melbourne - North West,Brimbank,Major Cities of Australia,Arterial Road,VIC_Brimbank_Melbourne___North_West
WA,Western Australia - Outback (South),Greater Geraldton,Outer Regional Australia,Local Road,WA_Greater_Geraldton_Western_Australia___Outback_(South)
TAS,Launceston and North East,Northern Midlands,Inner Regional Australia,National or State Highway,TAS_Northern_Midlands_Launceston_and_North_East
WA,Bunbury,Harvey,Inner Regional Australia,Local Road,WA_Harvey_Bunbury
SA,South Australia - South East,Murray Bridge,Inner Regional Australia,Sub-arterial Road,SA_Murray_Bridge_South_Australia___South_East
NSW,Sydney - Parramatta,Cumberland,Major Cities of Australia,Busway,NSW_Cumberland_Sydney___Parramatta
WA,Perth - South East,Serpentine-Jarrahdale,Inner Regional Australia,Local Road,WA_Serpentine_Jarrahdale_Perth___South_East
WA,Perth - North East,Bayswater,Major Cities of Australia,Local Road,WA_Bayswater_Perth___North_East
VIC,Hume,Wangaratta,Inner Regional Australia,National or State Highway,VIC_Wangaratta_Hume
WA,Perth - North East,Swan,Major Cities of Australia,Local Road,WA_Swan_Perth___North_East
VIC,Bendigo,Macedon Ranges,Inner Regional Australia,Arterial Road,VIC_Macedon_Ranges_Bendigo
QLD,Queensland - Outback,Doomadgee,Very Remote Australia,Collector Road,QLD_Doomadgee_Queensland___Outback
NSW,Far West and Orana,Narromine,Outer Regional Australia,Local Road,NSW_Narromine_Far_West_and_Orana
QLD,Queensland - Outback,Croydon,Very Remote Australia,Sub-arterial Road,QLD_Croydon_Queensland___Outback
NSW,Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia,Local Road,NSW_Mid_Coast_Hunter_Valley_exc_Newcastle
SA,Adelaide - West,Charles Sturt,Major Cities of Australia,Arterial Road,SA_Charles_Sturt_Adelaide___West
WA,Perth - South East,Gosnells,Major Cities of Australia,Arterial Road,WA_Gosnells_Perth___South_East
QLD,Brisbane - North,Brisbane,Major Cities of Australia,Pedestrian Thoroughfare,QLD_Brisbane_Brisbane___North
QLD,Logan - Beaudesert,Scenic Rim,Inner Regional Australia,Local Road,QLD_Scenic_Rim_Logan___Beaudesert
VIC,Hume,Towong,Outer Regional Australia,Local Road,VIC_Towong_Hume
NT,Northern Territory - Outback,West Arnhem,Very Remote Australia,Sub-arterial Road,NT_West_Arnhem_Northern_Territory___Outback
NSW,Central West,Mid-Western,Inner Regional Australia,Local Road,NSW_Mid_Western_Central_West
NSW,Capital Region,Queanbeyan-Palerang,Major Cities of Australia,Arterial Road,NSW_Queanbeyan_Palerang_Capital_Region
WA,Western Australia - Wheat Belt,Albany,Outer Regional Australia,National or State Highway,WA_Albany_Western_Australia___Wheat_Belt
TAS,South East,Central Highlands (Tas.),Outer Regional Australia,Access road,TAS_Central_Highlands_(Tas.)_South_East
NSW,Riverina,Lockhart,Outer Regional Australia,Arterial Road,NSW_Lockhart_Riverina
WA,Western Australia - Wheat Belt,Chittering,Inner Regional Australia,Arterial Road,WA_Chittering_Western_Australia___Wheat_Belt
VIC,Melbourne - North West,Macedon Ranges,Inner Regional Australia,Local Road,VIC_Macedon_Ranges_Melbourne___North_West
VIC,Latrobe - Gippsland,Baw Baw,Outer Regional Australia,Local Road,VIC_Baw_Baw_Latrobe___Gippsland
NSW,New England and North West,Walcha,Outer Regional Australia,Access road,NSW_Walcha_New_England_and_North_West
WA,Perth - South East,Canning,Major Cities of Australia,Arterial Road,WA_Canning_Perth___South_East
WA,Western Australia - Outback (South),Perenjori,Remote Australia,Local Road,WA_Perenjori_Western_Australia___Outback_(South)
SA,South Australia - South East,Renmark Paringa,Outer Regional Australia,Collector Road,SA_Renmark_Paringa_South_Australia___South_East
NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Collector Road,NSW_Hawkesbury_Sydney___Baulkham_Hills_and_Hawkesbury
WA,Western Australia - Outback (South),Mount Magnet,Very Remote Australia,National or State Highway,WA_Mount_Magnet_Western_Australia___Outback_(South)
NSW,Sydney - Inner West,Inner West,Major Cities of Australia,Local Road,NSW_Inner_West_Sydney___Inner_West
WA,Bunbury,Donnybrook-Balingup,Inner Regional Australia,Local Road,WA_Donnybrook_Balingup_Bunbury
QLD,Sunshine Coast,Sunshine Coast,Inner Regional Australia,Collector Road,QLD_Sunshine_Coast_Sunshine_Coast
NSW,Far West and Orana,Cobar,Remote Australia,National or State Highway,NSW_Cobar_Far_West_and_Orana
QLD,Queensland - Outback,Hope Vale,Remote Australia,Local Road,QLD_Hope_Vale_Queensland___Outback
SA,South Australia - Outback,Cleve,Remote Australia,Sub-arterial Road,SA_Cleve_South_Australia___Outback
SA,South Australia - South East,Murray Bridge,Inner Regional Australia,Collector Road,SA_Murray_Bridge_South_Australia___South_East
WA,Bunbury,Augusta Margaret River,Outer Regional Australia,Arterial Road,WA_Augusta_Margaret_River_Bunbury
SA,Adelaide - South,Mitcham,Major Cities of Australia,National or State Highway,SA_Mitcham_Adelaide___South
VIC,Melbourne - North West,Moonee Valley,Major Cities of Australia,Collector Road,VIC_Moonee_Valley_Melbourne___North_West
WA,Perth - Inner,Vincent,Major Cities of Australia,National or State Highway,WA_Vincent_Perth___Inner
QLD,Gold Coast,Scenic Rim,Inner Regional Australia,Local Road,QLD_Scenic_Rim_Gold_Coast
QLD,Brisbane - South,Brisbane,Major Cities of Australia,Busway,QLD_Brisbane_Brisbane___South
NSW,Richmond - Tweed,Tweed,Inner Regional Australia,National or State Highway,NSW_Tweed_Richmond___Tweed
WA,Western Australia - Wheat Belt,Wickepin,Outer Regional Australia,Arterial Road,WA_Wickepin_Western_Australia___Wheat_Belt
SA,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Inner Regional Australia,National or State Highway,SA_Clare_and_Gilbert_Valleys_Barossa___Yorke___Mid_North
VIC,Hume,Wangaratta,Outer Regional Australia,Arterial Road,VIC_Wangaratta_Hume
VIC,Melbourne - North West,Melton,Major Cities of Australia,Sub-arterial Road,VIC_Melton_Melbourne___North_West
NT,Darwin,Darwin,Outer Regional Australia,Collector Road,NT_Darwin_Darwin
VIC,Melbourne - West,Hobsons Bay,Major Cities of Australia,Sub-arterial Road,VIC_Hobsons_Bay_Melbourne___West
WA,Perth - South West,Cockburn,Major Cities of Australia,Arterial Road,WA_Cockburn_Perth___South_West
WA,Western Australia - Wheat Belt,Chittering,Inner Regional Australia,National or State Highway,WA_Chittering_Western_Australia___Wheat_Belt
WA,Western Australia - Outback (South),Kalgoorlie-Boulder,Very Remote Australia,National or State Highway,WA_Kalgoorlie_Boulder_Western_Australia___Outback_(South)
WA,Perth - North East,Swan,Major Cities of Australia,Arterial Road,WA_Swan_Perth___North_East
WA,Perth - South East,Victoria Park,Major Cities of Australia,National or State Highway,WA_Victoria_Park_Perth___South_East
QLD,Mackay - Isaac - Whitsunday,Isaac,Remote Australia,Local Road,QLD_Isaac_Mackay___Isaac___Whitsunday
VIC,Melbourne - West,Wyndham,Major Cities of Australia,Sub-arterial Road,VIC_Wyndham_Melbourne___West
WA,Perth - South East,Armadale,Major Cities of Australia,Arterial Road,WA_Armadale_Perth___South_East
WA,Bunbury,Bunbury,Inner Regional Australia,Arterial Road,WA_Bunbury_Bunbury
TAS,Hobart,Glenorchy,Inner Regional Australia,Sub-arterial Road,TAS_Glenorchy_Hobart
VIC,Warrnambool and South West,Warrnambool,Inner Regional Australia,Sub-arterial Road,VIC_Warrnambool_Warrnambool_and_South_West
SA,Adelaide - West,West Torrens,Major Cities of Australia,Collector Road,SA_West_Torrens_Adelaide___West
WA,Western Australia - Wheat Belt,Gingin,Inner Regional Australia,Arterial Road,WA_Gingin_Western_Australia___Wheat_Belt
WA,Western Australia - Wheat Belt,Moora,Remote Australia,Arterial Road,WA_Moora_Western_Australia___Wheat_Belt
VIC,Warrnambool and South West,Corangamite,Outer Regional Australia,Sub-arterial Road,VIC_Corangamite_Warrnambool_and_South_West
WA,Perth - Inner,Perth,Major Cities of Australia,Arterial Road,WA_Perth_Perth___Inner
WA,Bunbury,Busselton,Inner Regional Australia,Local Road,WA_Busselton_Bunbury
VIC,Latrobe - Gippsland,Wellington,Outer Regional Australia,Arterial Road,VIC_Wellington_Latrobe___Gippsland
QLD,Townsville,Charters Towers,Remote Australia,Local Road,QLD_Charters_Towers_Townsville
WA,Western Australia - Wheat Belt,Williams,Outer Regional Australia,Local Road,WA_Williams_Western_Australia___Wheat_Belt
NT,Darwin,Darwin,Outer Regional Australia,Sub-arterial Road,NT_Darwin_Darwin
WA,Bunbury,Augusta Margaret River,Inner Regional Australia,Local Road,WA_Augusta_Margaret_River_Bunbury
TAS,South East,Derwent Valley,Outer Regional Australia,Arterial Road,TAS_Derwent_Valley_South_East
WA,Perth - North West,Stirling,Major Cities of Australia,National or State Highway,WA_Stirling_Perth___North_West
VIC,Melbourne - Outer East,Knox,Major Cities of Australia,National or State Highway,VIC_Knox_Melbourne___Outer_East
QLD,Wide Bay,South Burnett,Outer Regional Australia,Collector Road,QLD_South_Burnett_Wide_Bay
QLD,Townsville,Charters Towers,Remote Australia,Sub-arterial Road,QLD_Charters_Towers_Townsville
SA,South Australia - South East,Tatiara,Outer Regional Australia,Arterial Road,SA_Tatiara_South_Australia___South_East
VIC,Warrnambool and South West,Moyne,Inner Regional Australia,Local Road,VIC_Moyne_Warrnambool_and_South_West
QLD,Queensland - Outback,Quilpie,Very Remote Australia,Sub-arterial Road,QLD_Quilpie_Queensland___Outback
TAS,West and North West,Burnie,Outer Regional Australia,Local Road,TAS_Burnie_West_and_North_West
SA,South Australia - South East,Mid Murray,Outer Regional Australia,Sub-arterial Road,SA_Mid_Murray_South_Australia___South_East
WA,Perth - South West,Kwinana,Major Cities of Australia,Arterial Road,WA_Kwinana_Perth___South_West
TAS,Launceston and North East,George Town,Outer Regional Australia,Collector Road,TAS_George_Town_Launceston_and_North_East
VIC,Bendigo,Mount Alexander,Inner Regional Australia,National or State Highway,VIC_Mount_Alexander_Bendigo
WA,Perth - South West,Rockingham,Major Cities of Australia,National or State Highway,WA_Rockingham_Perth___South_West
SA,Barossa - Yorke - Mid North,Adelaide Plains,Inner Regional Australia,National or State Highway,SA_Adelaide_Plains_Barossa___Yorke___Mid_North
TAS,Launceston and North East,Northern Midlands,Outer Regional Australia,National or State Highway,TAS_Northern_Midlands_Launceston_and_North_East
WA,Western Australia - Wheat Belt,Kojonup,Outer Regional Australia,Arterial Road,WA_Kojonup_Western_Australia___Wheat_Belt
WA,Western Australia - Wheat Belt,Mount Marshall,Remote Australia,Arterial Road,WA_Mount_Marshall_Western_Australia___Wheat_Belt
SA,South Australia - South East,Kingston (SA),Outer Regional Australia,Arterial Road,SA_Kingston_(SA)_South_Australia___South_East
WA,Western Australia - Outback (North),Karratha,Remote Australia,Local Road,WA_Karratha_Western_Australia___Outback_(North)
WA,Western Australia - Outback (South),Greater Geraldton,Outer Regional Australia,National or State Highway,WA_Greater_Geraldton_Western_Australia___Outback_(South)
NSW,Central West,Cowra,Outer Regional Australia,Sub-arterial Road,NSW_Cowra_Central_West
WA,Mandurah,Murray,Inner Regional Australia,National or State Highway,WA_Murray_Mandurah
NSW,Far West and Orana,Dubbo,Outer Regional Australia,Sub-arterial Road,NSW_Dubbo_Far_West_and_Orana
SA,South Australia - Outback,Elliston,Very Remote Australia,Sub-arterial Road,SA_Elliston_South_Australia___Outback
NSW,Mid North Coast,Kempsey,Inner Regional Australia,Arterial Road,NSW_Kempsey_Mid_North_Coast
NSW,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,Local Road,NSW_Upper_Hunter_Hunter_Valley_exc_Newcastle
WA,Western Australia - Outback (South),Coolgardie,Very Remote Australia,Local Road,WA_Coolgardie_Western_Australia___Outback_(South)
WA,Perth - Inner,Vincent,Major Cities of Australia,Arterial Road,WA_Vincent_Perth___Inner
SA,Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia,National or State Highway,SA_Mount_Remarkable_Barossa___Yorke___Mid_North
NSW,Riverina,Narrandera,Outer Regional Australia,Sub-arterial Road,NSW_Narrandera_Riverina
QLD,Cairns,Tablelands,Remote Australia,National or State Highway,QLD_Tablelands_Cairns
ACT,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Local Road,ACT_Unincorporated_ACT_Australian_Capital_Territory
VIC,Warrnambool and South West,Warrnambool,Inner Regional Australia,Arterial Road,VIC_Warrnambool_Warrnambool_and_South_West
VIC,Latrobe - Gippsland,Wellington,Inner Regional Australia,Arterial Road,VIC_Wellington_Latrobe___Gippsland
