crashID,locationID
20247034,NT_Palmerston_Darwin
20241260,NSW_Gunnedah_New_England_and_North_West
20243004,QLD_Townsville_Townsville
20246014,TAS_Break_O'Day_Launceston_and_North_East
20242024,VIC_Buloke_North_West
20243169,QLD_Scenic_Rim_Logan___Beaudesert
20243081,QLD_Bundaberg_Wide_Bay
20242169,VIC_West_Wimmera_North_West
20241110,NSW_Lake_Macquarie_Newcastle_and_Lake_Macquarie
20241082,NSW_Ku_ring_gai_Sydney___North_Sydney_and_Hornsby
20241159,NSW_Snowy_Monaro_Capital_Region
20246022,TAS_Hobart_Hobart
20241229,NSW_Shoalhaven_Southern_Highlands_and_Shoalhaven
20242026,VIC_Greater_Bendigo_Bendigo
20242268,VIC_Baw_Baw_Latrobe___Gippsland
20242238,VIC_Warrnambool_Warrnambool_and_South_West
20242122,VIC_Monash_Melbourne___South_East
20241046,NSW_Goulburn_Mulwaree_Capital_Region
20243192,QLD_Scenic_Rim_Logan___Beaudesert
20241032,NSW_Berrigan_Murray
20241031,NSW_Warren_Far_West_and_Orana
20243254,QLD_Sunshine_Coast_Sunshine_Coast
20243133,QLD_Cook_Queensland___Outback
20241203,NSW_Mid_Western_Central_West
20243118,QLD_Brisbane_Brisbane___South
20243173,QLD_Whitsunday_Mackay___Isaac___Whitsunday
20243199,QLD_Gold_Coast_Gold_Coast
20244003,SA_Salisbury_Adelaide___North
20241298,NSW_Clarence_Valley_Coffs_Harbour___Grafton
20242112,VIC_Moira_Shepparton
20243092,QLD_Fraser_Coast_Wide_Bay
20243042,QLD_Brisbane_Brisbane___North
20244005,SA_Berri_Barmera_South_Australia___South_East
20243178,QLD_Moreton_Bay_Moreton_Bay___South
20244050,SA_Alexandrina_South_Australia___South_East
20241208,NSW_Narrandera_Riverina
20242259,VIC_Glenelg_Warrnambool_and_South_West
20242212,VIC_Moonee_Valley_Melbourne___Inner
20243019,QLD_Toowoomba_Toowoomba
20241036,NSW_Mid_Coast_Mid_North_Coast
20242226,VIC_Whittlesea_Melbourne___North_East
20247007,NT_Litchfield_Darwin
20243074,QLD_Sunshine_Coast_Sunshine_Coast
20241003,NSW_Narrabri_New_England_and_North_West
20241277,NSW_Glen_Innes_Severn_New_England_and_North_West
20241249,NSW_Wingecarribee_Southern_Highlands_and_Shoalhaven
20242020,VIC_Greater_Dandenong_Melbourne___South_East
20242108,VIC_Boroondara_Melbourne___Inner_East
20243120,QLD_Fraser_Coast_Wide_Bay
20242187,VIC_Golden_Plains_Geelong
