crash_id,vehicle_id
20232255,0
20231009,0
20233146,0
20232126,0
20231018,0
20233262,0
20231021,1
20232242,0
20233128,0
20232107,0
20234001,0
20237009,0
20236019,0
20231300,0
20232086,0
20233024,0
20232002,0
20231138,0
20233125,0
20232251,0
20233067,3
20233190,0
20233240,0
20233030,5
20232030,3
20233166,0
20232056,0
20233044,0
20231211,1
20232121,0
20231187,0
20236031,0
20232114,0
20233088,0
20237012,0
20233150,0
20231033,0
20231082,0
20231167,0
20233126,0
20231174,0
20231286,0
20232166,0
20231170,0
20231193,0
20233039,0
20231185,0
20233075,0
20232235,0
20236029,0
20231253,0
20233089,0
20231157,5
20232108,0
20231194,0
20233090,0
20233104,0
20236034,4
20231118,0
20234107,0
20232158,0
20233079,0
20232079,0
20231219,1
20231140,0
20231080,5
20231116,0
20234013,0
20233007,3
20232038,1
20231079,3
20231151,0
20232035,0
20231243,0
20233065,0
20233203,1
20233148,0
20234089,0
20233172,0
20231260,0
20233256,3
20234102,0
20231236,0
20233186,0
20231228,0
20232209,0
20234044,0
20233072,0
20231122,3
20233179,0
20233192,3
20232052,0
20234078,0
20232260,0
20233112,1
20233083,0
20233197,0
20232080,0
20231084,0
20233199,0
20234022,0
20233113,0
20231273,0
20236032,0
20233137,0
20232085,0
20231266,0
20233151,0
20233116,3
20231295,0
20233127,0
20231024,0
20231279,0
20233011,0
20234086,0
20234058,0
20231061,0
20231016,0
20236010,0
20233130,0
20236024,0
20234055,0
20233173,0
20233071,0
20231241,5
20233054,3
20231048,0
20232180,1
20231284,0
20231222,0
20233235,0
20233243,1
20232102,3
20233062,0
20233242,0
20234051,0
20233034,0
20231247,0
20231072,0
20231125,0
20231032,0
20236008,0
20231293,0
20231065,0
20234002,0
20231063,0
20233226,0
20234088,0
20233106,0
20231191,0
20233215,0
20231137,1
20232208,0
20231176,0
20231217,0
20232207,0
20231298,1
20232043,0
20232238,0
20233026,3
20237007,0
20231142,0
20231290,0
20231154,0
20231002,0
20231015,0
20233033,0
20234101,0
20233046,0
20236018,0
20231004,0
20231066,0
20232129,0
20232228,0
20233107,0
20233141,0
20234070,0
20231124,0
20233009,0
20233091,0
20231081,0
20231131,3
20233086,0
20232032,1
20231203,0
20231148,0
20233248,0
20231050,0
20232159,0
20232029,0
20233230,0
20234104,0
20231192,0
20234098,0
20231132,0
20233042,0
20231224,0
20231003,0
20233064,0
20231254,0
20233060,0
20233061,0
20233115,0
20233260,0
20233227,0
20231230,1
20236020,0
20234019,0
20234096,0
20231232,0
20234064,0
20232117,0
20231054,5
20233049,0
20234093,0
20231287,0
20231299,0
20233244,0
20231179,3
20231267,0
20231265,0
20233084,3
20231269,1
20233025,0
20234037,0
20234030,0
20231144,0
20233207,0
20234060,0
20233099,0
20232014,0
20231216,0
20234069,0
20231172,0
20233177,0
20232064,0
20231120,0
20231030,0
20233257,1
20233057,0
20233178,0
20231233,0
20234008,0
20232175,0
20232197,0
20231186,1
20232212,0
20231235,0
20233219,0
20232151,0
20233010,0
20231058,0
20236015,0
20232070,0
20234054,0
20237002,1
20232206,0
20234090,0
20231049,0
20232220,0
20231134,0
20234041,0
20233217,0
20231239,0
20231202,3
20234009,0
20233194,3
20233187,0
20231105,0
20232134,0
20231077,0
20231031,1
20234065,0
20232091,3
20236023,4
20234024,0
20232010,0
20233077,3
20231094,0
20231055,0
20231270,0
20231246,0
20231275,3
20237020,0
20234100,0
20234073,0
20233220,3
20236002,4
20231110,0
20233028,0
20234074,1
20233168,0
20234047,0
20233171,0
20233055,0
