personID,crashID
P1130,20233032
P1131,20233063
P1132,20231271
P1133,20234094
P1134,20231152
P1135,20231068
P1136,20233020
P1137,20233134
P1138,20233198
P1139,20233198
P1140,20231252
P1141,20231227
P1142,20231292
P1143,20232065
P1144,20232171
P1145,20232063
P1146,20232074
P1147,20231288
P1148,20232170
P1149,20231133
P1150,20231249
P1151,20231171
P1152,20233196
P1153,20233245
P1154,20231025
P1155,20231244
P1156,20232118
P1157,20231128
P1158,20232048
P1159,20236004
P1160,20232204
P1161,20231251
P1162,20231263
P1163,20231078
P1164,20233251
P1165,20234077
P1166,20236003
P1167,20233246
P1168,20232248
P1169,20237008
P1170,20232026
P1171,20233170
P1172,20233210
P1173,20233076
P1174,20233210
P1175,20233131
P1176,20233133
P1177,20232124
P1178,20232136
P1179,20233183
P1180,20232022
P1181,20231168
P1182,20232217
P1183,20236016
P1184,20231220
P1185,20233195
P1186,20231301
P1187,20233167
P1188,20233021
P1189,20231106
P1190,20231149
P1191,20231226
P1192,20236022
P1193,20232084
P1194,20232172
P1195,20237023
P1196,20237023
P1197,20232154
P1198,20234026
P1199,20232103
P1200,20232163
P1201,20231163
P1202,20231262
P1203,20231262
P1204,20231059
P1205,20236011
P1206,20234095
P1207,20234095
P1208,20234095
P1209,20232205
P1210,20234059
P1211,20234066
P1212,20232223
P1213,20231010
P1214,20231274
P1215,20231188
P1216,20231062
P1217,20233191
P1218,20234087
P1219,20232150
P1220,20233144
P1221,20233208
P1222,20233212
P1223,20234032
P1224,20232125
P1225,20231234
P1226,20233121
P1227,20232081
P1228,20233098
P1229,20233070
P1230,20233040
P1231,20236027
P1232,20232239
P1233,20231245
P1234,20231097
P1235,20232152
P1236,20231022
P1237,20231022
P1238,20231117
P1239,20231117
P1240,20231164
P1241,20231019
P1242,20233175
P1243,20233015
P1244,20231043
P1245,20234057
P1246,20234105
P1247,20233214
P1248,20234035
P1249,20231067
P1250,20231085
P1251,20231026
P1252,20233263
P1253,20237021
P1254,20231214
P1255,20232181
P1256,20231086
P1257,20232076
P1258,20233053
P1259,20233250
P1260,20233118
P1261,20231011
P1262,20232135
P1263,20233035
P1264,20237006
