state,remoteness,sa4_name,lga_name,road_type,speed_limit,location_id
SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Sub-arterial Road,60,2259
SA,Major Cities of Australia,Adelaide - South,Mitcham,Local Road,60,2260
NSW,Outer Regional Australia,Murray,Murray River,Sub-arterial Road,70,2261
WA,Inner Regional Australia,Western Australia - Wheat Belt,Boddington,Arterial Road,110,2262
WA,Remote Australia,Western Australia - Wheat Belt,Bruce Rock,Arterial Road,110,2263
NSW,Outer Regional Australia,Central West,Cowra,Arterial Road,100,2264
WA,Inner Regional Australia,Perth - North East,Swan,Local Road,110,2265
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,60,2266
NT,Very Remote Australia,Northern Territory - Outback,East Arnhem,Local Road,40,2267
VIC,Inner Regional Australia,Mornington Peninsula,Mornington Peninsula,Arterial Road,100,2268
QLD,Outer Regional Australia,Cairns,Cairns,Local Road,70,2269
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Arterial Road,60,2270
SA,Inner Regional Australia,South Australia - South East,Mid Murray,Arterial Road,100,2271
TAS,Outer Regional Australia,South East,Central Highlands (Tas.),Sub-arterial Road,100,2272
WA,Remote Australia,Western Australia - Wheat Belt,Kulin,Local Road,110,2273
VIC,Inner Regional Australia,Melbourne - South East,Cardinia,National or State Highway,80,2274
NT,Outer Regional Australia,Darwin,Litchfield,Local Road,60,2275
WA,Outer Regional Australia,Western Australia - Outback (South),Kalgoorlie-Boulder,Local Road,50,2276
WA,Inner Regional Australia,Bunbury,Augusta Margaret River,Arterial Road,110,2277
WA,Major Cities of Australia,Perth - South West,Cockburn,National or State Highway,80,2278
VIC,Inner Regional Australia,North West,Northern Grampians,National or State Highway,80,2279
NSW,Outer Regional Australia,Capital Region,Bega Valley,Local Road,100,2280
VIC,Outer Regional Australia,Latrobe - Gippsland,Wellington,Collector Road,100,2281
SA,Major Cities of Australia,Adelaide - Central and Hills,Prospect,Local Road,50,2282
WA,Outer Regional Australia,Western Australia - Wheat Belt,Cuballing,Arterial Road,110,2283
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Dungog,Local Road,100,2284
ACT,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,Collector Road,100,2285
NSW,Inner Regional Australia,Capital Region,Eurobodalla,Arterial Road,100,2286
WA,Major Cities of Australia,Perth - North West,Wanneroo,National or State Highway,80,2287
WA,Very Remote Australia,Western Australia - Outback (South),Carnarvon,Local Road,60,2288
WA,Remote Australia,Western Australia - Outback (South),Esperance,Local Road,50,2289
VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Local Road,100,2290
VIC,Outer Regional Australia,North West,Hindmarsh,Local Road,100,2291
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Local Road,100,2292
SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Sub-arterial Road,50,2293
QLD,Inner Regional Australia,Central Queensland,Livingstone,Sub-arterial Road,50,2294
WA,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale,Local Road,90,2295
NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Access road,50,2296
NSW,Major Cities of Australia,Sydney - South West,Liverpool,National or State Highway,70,2297
NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Sub-arterial Road,50,2298
WA,Major Cities of Australia,Mandurah,Murray,Local Road,50,2299
WA,Very Remote Australia,Western Australia - Outback (North),Wyndham-East Kimberley,National or State Highway,60,2300
VIC,Inner Regional Australia,Warrnambool and South West,Warrnambool,Collector Road,60,2301
WA,Outer Regional Australia,Western Australia - Wheat Belt,Beverley,National or State Highway,110,2302
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,National or State Highway,70,2303
WA,Major Cities of Australia,Perth - North West,Wanneroo,Arterial Road,70,2304
WA,Very Remote Australia,Western Australia - Outback (South),Ravensthorpe,National or State Highway,110,2305
NSW,Outer Regional Australia,Far West and Orana,Dubbo,Local Road,50,2306
QLD,Major Cities of Australia,Brisbane - East,Redland,Sub-arterial Road,70,2307
WA,Major Cities of Australia,Perth - South East,Canning,Local Road,50,2308
WA,Inner Regional Australia,Bunbury,Augusta Margaret River,Arterial Road,80,2309
WA,Major Cities of Australia,Perth - North West,Joondalup,Local Road,70,2310
SA,Major Cities of Australia,Adelaide - South,Mitcham,Local Road,10,2311
VIC,Outer Regional Australia,North West,Swan Hill,National or State Highway,80,2312
QLD,Very Remote Australia,Queensland - Outback,Mount Isa,National or State Highway,110,2313
VIC,Major Cities of Australia,Melbourne - North East,Nillumbik,Sub-arterial Road,80,2314
VIC,Major Cities of Australia,Melbourne - West,Moorabool,Arterial Road,60,2315
WA,Inner Regional Australia,Perth - North East,Swan,Local Road,80,2316
SA,Very Remote Australia,South Australia - Outback,Coober Pedy,Local Road,50,2317
NSW,Outer Regional Australia,Far West and Orana,Narromine,Sub-arterial Road,100,2318
QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,Collector Road,50,2319
SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Sub-arterial Road,60,2320
QLD,Major Cities of Australia,Gold Coast,Gold Coast,National or State Highway,50,2321
WA,Inner Regional Australia,Bunbury,Donnybrook-Balingup,Arterial Road,80,2322
NSW,Inner Regional Australia,Capital Region,Eurobodalla,National or State Highway,90,2323
WA,Major Cities of Australia,Perth - North West,Joondalup,National or State Highway,100,2324
NSW,Inner Regional Australia,Capital Region,Upper Lachlan,Sub-arterial Road,50,2325
VIC,Major Cities of Australia,Geelong,Greater Geelong,Collector Road,50,2326
NSW,Outer Regional Australia,Riverina,Narrandera,National or State Highway,110,2327
QLD,Very Remote Australia,Central Queensland,Central Highlands (Qld),Sub-arterial Road,100,2328
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Local Road,50,2329
QLD,Outer Regional Australia,Townsville,Charters Towers,Local Road,100,2330
NT,Remote Australia,Northern Territory - Outback,Katherine,National or State Highway,60,2331
SA,Major Cities of Australia,Adelaide - South,Marion,Collector Road,60,2332
SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Arterial Road,60,2333
NSW,Outer Regional Australia,New England and North West,Walcha,Sub-arterial Road,100,2334
NSW,Outer Regional Australia,New England and North West,Walcha,National or State Highway,100,2335
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,National or State Highway,110,2336
NSW,Outer Regional Australia,Murray,Wentworth,Local Road,80,2337
QLD,Outer Regional Australia,Central Queensland,Central Highlands (Qld),Local Road,60,2338
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Local Road,40,2339
WA,Remote Australia,Western Australia - Wheat Belt,Dalwallinu,Local Road,60,2340
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road,80,2341
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,Arterial Road,110,2342
TAS,Outer Regional Australia,West and North West,Waratah-Wynyard,Sub-arterial Road,100,2343
NSW,Outer Regional Australia,Central West,Bland,National or State Highway,100,2344
WA,Remote Australia,Western Australia - Wheat Belt,Gnowangerup,Arterial Road,110,2345
WA,Inner Regional Australia,Bunbury,Busselton,National or State Highway,110,2346
NSW,Remote Australia,Riverina,Carrathool,Sub-arterial Road,100,2347
TAS,Inner Regional Australia,Hobart,Glenorchy,Local Road,100,2348
NSW,Outer Regional Australia,Riverina,Junee,Sub-arterial Road,100,2349
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Sub-arterial Road,60,2350
NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),National or State Highway,60,2351
VIC,Inner Regional Australia,Hume,Indigo,Local Road,100,2352
QLD,Inner Regional Australia,Sunshine Coast,Noosa,Local Road,80,2353
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,National or State Highway,80,2354
VIC,Inner Regional Australia,Ballarat,Loddon,Arterial Road,100,2355
SA,Inner Regional Australia,South Australia - South East,Alexandrina,National or State Highway,80,2356
WA,Inner Regional Australia,Mandurah,Murray,Local Road,110,2357
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Maitland,Local Road,100,2358
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Sub-arterial Road,60,2359
WA,Major Cities of Australia,Perth - South West,Rockingham,National or State Highway,80,2360
TAS,Inner Regional Australia,Hobart,Hobart,Arterial Road,50,2361
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Sub-arterial Road,90,2362
NSW,Outer Regional Australia,Capital Region,Goulburn Mulwaree,Sub-arterial Road,100,2363
SA,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Arterial Road,60,2364
WA,Inner Regional Australia,Bunbury,Bunbury,National or State Highway,110,2365
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Goyder,Arterial Road,110,2366
WA,Remote Australia,Western Australia - Wheat Belt,Wongan-Ballidu,Arterial Road,110,2367
SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,Local Road,100,2368
VIC,Outer Regional Australia,North West,Buloke,Sub-arterial Road,100,2369
WA,Major Cities of Australia,Perth - North West,Wanneroo,Arterial Road,80,2370
VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,Local Road,60,2371
SA,Very Remote Australia,South Australia - Outback,Ceduna,Local Road,100,2372
NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,Sub-arterial Road,80,2373
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Access road,100,2374
NSW,Major Cities of Australia,Illawarra,Wollongong,Arterial Road,80,2375
WA,Major Cities of Australia,Perth - South West,Kwinana,Local Road,50,2376
WA,Major Cities of Australia,Perth - North East,Swan,Arterial Road,60,2377
SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,Access road,50,2378
WA,Inner Regional Australia,Bunbury,Collie,Local Road,80,2379
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills,Arterial Road,50,2380
WA,Inner Regional Australia,Bunbury,Busselton,Local Road,90,2381
QLD,Very Remote Australia,Queensland - Outback,Cook,Collector Road,80,2382
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Sub-arterial Road,90,2383
WA,Inner Regional Australia,Perth - South East,Armadale,National or State Highway,110,2384
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Access road,100,2385
NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Local Road,80,2386
QLD,Inner Regional Australia,Ipswich,Scenic Rim,Sub-arterial Road,60,2387
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road,70,2388
SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Local Road,80,2389
QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Sub-arterial Road,60,2390
VIC,Outer Regional Australia,North West,Swan Hill,Local Road,60,2391
NSW,Outer Regional Australia,Riverina,Cootamundra-Gundagai,National or State Highway,110,2392
WA,Very Remote Australia,Western Australia - Outback (North),Derby-West Kimberley,National or State Highway,110,2393
VIC,Inner Regional Australia,Hume,Indigo,Access road,100,2394
NSW,Outer Regional Australia,New England and North West,Narrabri,Arterial Road,100,2395
QLD,Major Cities of Australia,Brisbane - South,Brisbane,Sub-arterial Road,80,2396
VIC,Inner Regional Australia,Melbourne - North East,Whittlesea,Arterial Road,100,2397
WA,Inner Regional Australia,Perth - North West,Wanneroo,National or State Highway,90,2398
WA,Outer Regional Australia,Western Australia - Wheat Belt,Williams,National or State Highway,100,2399
WA,Major Cities of Australia,Perth - South East,Armadale,Arterial Road,50,2400
QLD,Major Cities of Australia,Brisbane - South,Brisbane,National or State Highway,70,2401
QLD,Remote Australia,Queensland - Outback,Mount Isa,Local Road,60,2402
VIC,Inner Regional Australia,Ballarat,Golden Plains,Sub-arterial Road,100,2403
WA,Very Remote Australia,Western Australia - Outback (North),East Pilbara,National or State Highway,110,2404
WA,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale,Arterial Road,80,2405
NSW,Inner Regional Australia,Capital Region,Hilltops,Local Road,80,2406
NSW,Outer Regional Australia,Murray,Greater Hume,Sub-arterial Road,100,2407
NT,Remote Australia,Northern Territory - Outback,Alice Springs,National or State Highway,60,2408
WA,Very Remote Australia,Western Australia - Outback (South),Menzies,Local Road,110,2409
VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,Local Road,100,2410
NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Arterial Road,50,2411
QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,Sub-arterial Road,100,2412
WA,Outer Regional Australia,Western Australia - Wheat Belt,Dandaragan,Local Road,110,2413
VIC,Inner Regional Australia,Ballarat,Pyrenees,National or State Highway,110,2414
NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,100,2415
WA,Inner Regional Australia,Bunbury,Busselton,Arterial Road,70,2416
WA,Outer Regional Australia,Western Australia - Wheat Belt,Plantagenet,Arterial Road,110,2417
VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Local Road,50,2418
NSW,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road,80,2419
TAS,Inner Regional Australia,Hobart,Clarence,Sub-arterial Road,80,2420
QLD,Outer Regional Australia,Queensland - Outback,Mareeba,Local Road,70,2421
WA,Very Remote Australia,Western Australia - Outback (North),Halls Creek,Local Road,110,2422
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway,100,2423
WA,Inner Regional Australia,Western Australia - Wheat Belt,Northam,National or State Highway,110,2424
QLD,Outer Regional Australia,Wide Bay,North Burnett,Sub-arterial Road,100,2425
NSW,Outer Regional Australia,Central West,Weddin,Sub-arterial Road,100,2426
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,National or State Highway,60,2427
VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Collector Road,50,2428
WA,Outer Regional Australia,Western Australia - Outback (South),Irwin,National or State Highway,110,2429
SA,Major Cities of Australia,Adelaide - North,Light,Collector Road,100,2430
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road,80,2431
NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,40,2432
NSW,Very Remote Australia,Far West and Orana,Walgett,Access road,50,2433
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Collector Road,80,2434
QLD,Inner Regional Australia,Wide Bay,South Burnett,National or State Highway,60,2435
WA,Major Cities of Australia,Perth - South East,Armadale,National or State Highway,80,2436
VIC,Inner Regional Australia,Bendigo,Macedon Ranges,National or State Highway,70,2437
NSW,Inner Regional Australia,Capital Region,Eurobodalla,Local Road,100,2438
QLD,Outer Regional Australia,Cairns,Yarrabah,Local Road,60,2439
NSW,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,60,2440
QLD,Outer Regional Australia,Cairns,Cassowary Coast,Sub-arterial Road,100,2441
WA,Inner Regional Australia,Perth - North West,Wanneroo,Arterial Road,90,2442
WA,Outer Regional Australia,Western Australia - Wheat Belt,Pingelly,Arterial Road,80,2443
WA,Major Cities of Australia,Perth - South East,Belmont,Arterial Road,60,2444
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie,Arterial Road,100,2445
QLD,Outer Regional Australia,Darling Downs - Maranoa,Toowoomba,Local Road,100,2446
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-arterial Road,100,2447
NSW,Remote Australia,New England and North West,Narrabri,Arterial Road,100,2448
VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Sub-arterial Road,60,2449
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road,40,2450
WA,Remote Australia,Western Australia - Outback (North),Broome,Local Road,50,2451
NSW,Major Cities of Australia,Sydney - City and Inner South,Bayside (NSW),Collector Road,50,2452
QLD,Remote Australia,Queensland - Outback,Cook,Collector Road,100,2453
NSW,Outer Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road,100,2454
WA,Remote Australia,Western Australia - Wheat Belt,Kondinin,Arterial Road,110,2455
WA,Major Cities of Australia,Perth - South West,Rockingham,Local Road,100,2456
WA,Very Remote Australia,Western Australia - Outback (South),Cue,National or State Highway,110,2457
VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),Arterial Road,60,2458
SA,Major Cities of Australia,Adelaide - North,Gawler,Local Road,50,2459
NSW,Major Cities of Australia,Sydney - Ryde,Hornsby,National or State Highway,100,2460
NSW,Inner Regional Australia,Riverina,Wagga Wagga,Local Road,60,2461
QLD,Inner Regional Australia,Wide Bay,Gympie,National or State Highway,110,2462
NSW,Outer Regional Australia,Murray,Hay,Local Road,50,2463
NSW,Inner Regional Australia,Mid North Coast,Kempsey,Sub-arterial Road,80,2464
NSW,Outer Regional Australia,Riverina,Griffith,Access road,100,2465
QLD,Major Cities of Australia,Brisbane - East,Brisbane,Sub-arterial Road,60,2466
NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,Access road,110,2467
QLD,Inner Regional Australia,Wide Bay,Gympie,Access road,50,2468
WA,Outer Regional Australia,Western Australia - Wheat Belt,Wagin,Arterial Road,110,2469
WA,Inner Regional Australia,Bunbury,Busselton,Local Road,80,2470
NT,Very Remote Australia,Northern Territory - Outback,West Arnhem,Sub-arterial Road,100,2471
VIC,Major Cities of Australia,Melbourne - Outer East,Whitehorse,Arterial Road,70,2472
VIC,Inner Regional Australia,Shepparton,Greater Shepparton,National or State Highway,60,2473
TAS,Inner Regional Australia,Hobart,Kingborough,Arterial Road,90,2474
WA,Major Cities of Australia,Perth - South East,Serpentine-Jarrahdale,Arterial Road,90,2475
QLD,Inner Regional Australia,Wide Bay,Gympie,Collector Road,60,2476
NSW,Inner Regional Australia,Central West,Cabonne,Arterial Road,100,2477
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Collector Road,70,2478
QLD,Inner Regional Australia,Central Queensland,Gladstone,Sub-arterial Road,80,2479
WA,Very Remote Australia,Western Australia - Outback (South),Meekatharra,Local Road,110,2480
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Sub-arterial Road,50,2481
NSW,Remote Australia,Far West and Orana,Unincorporated NSW,Access road,100,2482
NSW,Major Cities of Australia,Sydney - Outer South West,Wollondilly,Local Road,110,2483
QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,National or State Highway,110,2484
SA,Major Cities of Australia,Adelaide - North,Salisbury,Sub-arterial Road,90,2485
NT,Remote Australia,Northern Territory - Outback,Katherine,National or State Highway,130,2486
WA,Major Cities of Australia,Perth - South East,Kalamunda,Arterial Road,70,2487
QLD,Remote Australia,Darling Downs - Maranoa,Balonne,Collector Road,100,2488
WA,Inner Regional Australia,Bunbury,Dardanup,Arterial Road,100,2489
VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Sub-arterial Road,80,2490
QLD,Remote Australia,Central Queensland,Banana,National or State Highway,100,2491
ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Local Road,70,2492
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Mid-Coast,National or State Highway,100,2493
WA,Very Remote Australia,Western Australia - Outback (North),Derby-West Kimberley,Local Road,100,2494
VIC,Inner Regional Australia,North West,Northern Grampians,Collector Road,60,2495
QLD,Very Remote Australia,Queensland - Outback,Mareeba,Local Road,80,2496
QLD,Outer Regional Australia,Queensland - Outback,Mareeba,Local Road,80,2497
WA,Outer Regional Australia,Bunbury,Manjimup,Arterial Road,90,2498
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula,Collector Road,100,2499
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,60,2500
QLD,Remote Australia,Wide Bay,Fraser Coast,Access road,80,2501
SA,Major Cities of Australia,Adelaide - North,Salisbury,National or State Highway,90,2502
SA,Outer Regional Australia,South Australia - South East,Mid Murray,National or State Highway,110,2503
QLD,Very Remote Australia,Queensland - Outback,Lockhart River,Collector Road,100,2504
WA,Major Cities of Australia,Perth - South East,Canning,National or State Highway,100,2505
QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway,50,2506
SA,Remote Australia,South Australia - Outback,Cleve,Arterial Road,110,2507
TAS,Inner Regional Australia,Hobart,Brighton,Arterial Road,70,2508
QLD,Inner Regional Australia,Gold Coast,Gold Coast,Local Road,60,2509
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Local Road,100,2510
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Arterial Road,80,2511
WA,Outer Regional Australia,Western Australia - Wheat Belt,Quairading,Arterial Road,110,2512
WA,Major Cities of Australia,Mandurah,Mandurah,Local Road,50,2513
SA,Outer Regional Australia,South Australia - Outback,Whyalla,Local Road,100,2514
WA,Major Cities of Australia,Perth - South East,Serpentine-Jarrahdale,Arterial Road,70,2515
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Local Road,40,2516
QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Sub-arterial Road,60,2517
WA,Major Cities of Australia,Perth - North East,Swan,National or State Highway,60,2518
QLD,Inner Regional Australia,Toowoomba,Toowoomba,Collector Road,50,2519
QLD,Remote Australia,Townsville,Hinchinbrook,Sub-arterial Road,100,2520
NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,National or State Highway,80,2521
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,National or State Highway,100,2522
VIC,Remote Australia,Latrobe - Gippsland,East Gippsland,Arterial Road,80,2523
WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton,Arterial Road,110,2524
WA,Inner Regional Australia,Bunbury,Capel,Local Road,110,2525
WA,Major Cities of Australia,Perth - Inner,Perth,National or State Highway,60,2526
VIC,Major Cities of Australia,Melbourne - South East,Casey,Arterial Road,100,2527
QLD,Remote Australia,Mackay - Isaac - Whitsunday,Whitsunday,Sub-arterial Road,60,2528
NSW,Outer Regional Australia,New England and North West,Gunnedah,Sub-arterial Road,80,2529
WA,Major Cities of Australia,Perth - South East,Canning,Arterial Road,70,2530
NT,Remote Australia,Northern Territory - Outback,Katherine,Sub-arterial Road,100,2531
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Collector Road,80,2532
WA,Inner Regional Australia,Mandurah,Murray,Arterial Road,100,2533
WA,Very Remote Australia,Western Australia - Outback (North),Wyndham-East Kimberley,Arterial Road,110,2534
VIC,Major Cities of Australia,Melbourne - North East,Banyule,Collector Road,50,2535
QLD,Major Cities of Australia,Gold Coast,Gold Coast,National or State Highway,70,2536
WA,Major Cities of Australia,Perth - North West,Joondalup,Local Road,50,2537
WA,Inner Regional Australia,Bunbury,Dardanup,Local Road,100,2538
NSW,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Local Road,40,2539
WA,Major Cities of Australia,Perth - South West,Rockingham,Local Road,70,2540
NSW,Major Cities of Australia,Sydney - City and Inner South,Randwick,Arterial Road,60,2541
NSW,Inner Regional Australia,Central West,Bathurst,Access road,100,2542
WA,Major Cities of Australia,Perth - North East,Mundaring,Local Road,80,2543
WA,Major Cities of Australia,Perth - North West,Wanneroo,Local Road,50,2544
VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,Local Road,60,2545
QLD,Outer Regional Australia,Cairns,Cairns,Local Road,100,2546
VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,Local Road,50,2547
VIC,Major Cities of Australia,Melbourne - West,Wyndham,National or State Highway,70,2548
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,Collector Road,50,2549
NSW,Remote Australia,Murray,Wentworth,National or State Highway,110,2550
NSW,Inner Regional Australia,Riverina,Snowy Valleys,National or State Highway,60,2551
NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Local Road,50,2552
QLD,Outer Regional Australia,Wide Bay,South Burnett,Local Road,50,2553
VIC,Inner Regional Australia,Ballarat,Moorabool,Arterial Road,80,2554
QLD,Inner Regional Australia,Wide Bay,South Burnett,Local Road,100,2555
QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,National or State Highway,80,2556
NT,Very Remote Australia,Northern Territory - Outback,Barkly,Access road,60,2557
NSW,Inner Regional Australia,Riverina,Junee,Sub-arterial Road,100,2558
SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Local Road,40,2559
QLD,Very Remote Australia,Queensland - Outback,Mornington,Local Road,80,2560
NSW,Inner Regional Australia,Capital Region,Eurobodalla,Local Road,50,2561
WA,Outer Regional Australia,Western Australia - Wheat Belt,Wandering,Arterial Road,110,2562
NSW,Outer Regional Australia,New England and North West,Tenterfield,Arterial Road,70,2563
WA,Remote Australia,Western Australia - Outback (South),Esperance,Arterial Road,110,2564
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Collector Road,100,2565
SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,National or State Highway,80,2566
WA,Major Cities of Australia,Perth - North East,Swan,Local Road,60,2567
WA,Outer Regional Australia,Western Australia - Wheat Belt,Cuballing,Local Road,110,2568
WA,Inner Regional Australia,Perth - North West,Wanneroo,Local Road,110,2569
VIC,Major Cities of Australia,Melbourne - Inner South,Monash,National or State Highway,80,2570
VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Sub-arterial Road,100,2571
WA,Major Cities of Australia,Perth - North East,Mundaring,Arterial Road,80,2572
WA,Major Cities of Australia,Perth - North West,Joondalup,Arterial Road,70,2573
QLD,Very Remote Australia,Queensland - Outback,Barcaldine,Local Road,80,2574
NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Arterial Road,100,2575
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,National or State Highway,30,2576
WA,Outer Regional Australia,Bunbury,Nannup,Arterial Road,110,2577
NSW,Outer Regional Australia,Far West and Orana,Broken Hill,Local Road,50,2578
SA,Major Cities of Australia,Adelaide - North,Salisbury,Local Road,80,2579
VIC,Inner Regional Australia,Bendigo,Mount Alexander,National or State Highway,110,2580
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Arterial Road,70,2581
WA,Major Cities of Australia,Perth - South East,Serpentine-Jarrahdale,Local Road,80,2582
SA,Major Cities of Australia,Adelaide - Central and Hills,Unley,Arterial Road,60,2583
NSW,Inner Regional Australia,Richmond - Tweed,Byron,Access road,100,2584
NSW,Inner Regional Australia,Illawarra,Wollongong,Arterial Road,60,2585
QLD,Major Cities of Australia,Brisbane - South,Brisbane,Pedestrian Thoroughfare,60,2586
NSW,Major Cities of Australia,Sydney - South West,Liverpool,National or State Highway,80,2587
WA,Very Remote Australia,Western Australia - Outback (South),Ngaanyatjarraku,Arterial Road,110,2588
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Collector Road,60,2589
SA,Outer Regional Australia,South Australia - South East,Coorong,Local Road,60,2590
NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Collector Road,80,2591
NSW,Inner Regional Australia,Central West,Lithgow,Arterial Road,100,2592
VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse,National or State Highway,80,2593
NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,National or State Highway,90,2594
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,National or State Highway,100,2595
NSW,Outer Regional Australia,Riverina,Junee,Arterial Road,100,2596
WA,Major Cities of Australia,Perth - North West,Joondalup,Local Road,80,2597
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,50,2598
TAS,Outer Regional Australia,West and North West,Circular Head,Local Road,100,2599
