crash_id,sa4_name
20243045,Wide Bay
20242028,Latrobe - Gippsland
20243054,Gold Coast
20241187,Sydney - Outer West and Blue Mountains
20246007,Launceston and North East
20241126,Central West
20244049,Adelaide - Central and Hills
20242021,Melbourne - West
20242045,Melbourne - Outer East
20243101,Central Queensland
20242206,North West
20242117,Shepparton
20241226,Capital Region
20242079,Shepparton
20241156,Far West and Orana
20243093,Toowoomba
20243125,Brisbane - North
20243134,Gold Coast
20242239,Geelong
20241232,Central West
20241061,Sydney - Eastern Suburbs
20244056,South Australia - Outback
20242039,North West
20241182,Mid North Coast
20241044,New England and North West
20242131,Shepparton
20244031,South Australia - South East
20242059,Melbourne - South East
20242033,Melbourne - Inner South
20241207,Hunter Valley exc Newcastle
20243033,Wide Bay
20242159,Melbourne - West
20243177,Moreton Bay - North
20243241,Brisbane - North
20243132,Brisbane - North
20243159,Logan - Beaudesert
20242072,Hume
20243028,Townsville
20243105,Cairns
20242258,North West
20241007,Mid North Coast
20241227,Sydney - Eastern Suburbs
20243130,Toowoomba
20242065,Melbourne - South East
20243259,Gold Coast
20244052,Adelaide - North
20242247,Melbourne - Inner
20241093,New England and North West
20241276,Sydney - Outer South West
20242208,Shepparton
20241157,Central West
20244065,Barossa - Yorke - Mid North
20242054,Melbourne - West
20242221,Geelong
20242197,Warrnambool and South West
20241075,Far West and Orana
20241279,Sydney - South West
20243095,Brisbane - North
20243272,Mackay - Isaac - Whitsunday
20243027,Brisbane Inner City
20248001,Australian Capital Territory
20242228,Melbourne - North West
20242105,Melbourne - North West
20241069,Sydney - South West
20244074,Barossa - Yorke - Mid North
20244008,South Australia - South East
20243100,Ipswich
20241122,Hunter Valley exc Newcastle
20244064,South Australia - South East
20243138,Wide Bay
20241141,Illawarra
20241244,Illawarra
20242236,Hume
20242195,Hume
20242010,Melbourne - South East
20242205,Hume
20244002,South Australia - South East
20242041,Hume
20242084,Melbourne - South East
20243230,Darling Downs - Maranoa
20241114,Richmond - Tweed
20243068,Central Queensland
20243099,Wide Bay
20242145,Latrobe - Gippsland
20243062,Mackay - Isaac - Whitsunday
20244048,Adelaide - Central and Hills
20241112,Sydney - Northern Beaches
20243047,Logan - Beaudesert
20242198,Melbourne - North East
20243202,Cairns
20244029,Barossa - Yorke - Mid North
20241185,Richmond - Tweed
20242153,Melbourne - North West
20243257,Townsville
20243149,Brisbane - West
20242202,Latrobe - Gippsland
20243245,Moreton Bay - South
20244004,Adelaide - West
20241123,Far West and Orana
20242222,North West
20242248,Melbourne - South East
20241213,New England and North West
20242220,Melbourne - Inner South
20242047,Melbourne - West
20243270,Cairns
20241121,Riverina
20243016,Central Queensland
20241038,Capital Region
20243200,Ipswich
20243039,Sunshine Coast
20242246,Melbourne - Inner South
20242063,Melbourne - North West
20243180,Gold Coast
20241297,New England and North West
20243059,Brisbane - South
20242242,Hume
20242091,Melbourne - Outer East
20243077,Queensland - Outback
20244038,Adelaide - North
20243136,Brisbane - North
