crash_id,lga_name
20242002,Campaspe
20243057,Cassowary Coast
20243166,North Burnett
20242203,Hepburn
20243196,Central Highlands (Qld)
20241214,Shellharbour
20242083,Hepburn
20241272,Fairfield
20241104,Ryde
20243182,Brisbane
20242180,Knox
20242126,Knox
20241023,Murray River
20243065,Ipswich
20243083,Logan
20244070,Playford
20243048,Toowoomba
20241280,Clarence Valley
20242118,Hume
20241193,Clarence Valley
20242150,Ararat
20241239,Wollondilly
20242111,Mornington Peninsula
20243255,Charters Towers
20241033,Cessnock
20241288,Blayney
20243012,Gold Coast
20241164,Hilltops
20243250,Moreton Bay
20242076,Kingston (Vic.)
20241099,Sydney
20243052,Mackay
20241015,Gilgandra
20243219,Somerset
20241184,Wollongong
20241284,Shoalhaven
20242218,Golden Plains
20241008,Central Coast (NSW)
20244075,Salisbury
20242147,Yarra
20248010,Unincorporated ACT
20234108,Salisbury
20234099,Playford
20233145,Lockyer Valley
20236026,Waratah-Wynyard
20233259,Southern Downs
20236028,Circular Head
20231088,Lithgow
20231189,Moree Plains
20232156,Casey
20233100,Burdekin
20231103,Liverpool
20232192,Swan Hill
20233056,Gladstone
20231091,Murrumbidgee
20232211,Towong
20231104,Wingecarribee
20231155,Blacktown
20232098,Greater Geelong
20232128,Mildura
20233085,Scenic Rim
20234027,Clare and Gilbert Valleys
20232061,Greater Bendigo
20234033,Light
20232044,Greater Geelong
20232250,Wyndham
20233231,Brisbane
20231020,Maitland
20231115,Upper Lachlan
20231038,Wagga Wagga
20231108,Orange
20231281,Shoalhaven
20233078,Toowoomba
20231261,Muswellbrook
20233258,Moreton Bay
20236009,Launceston
20232237,Kingston (Vic.)
20232188,Yarra Ranges
20233165,Gold Coast
20231098,Cowra
20234029,Walkerville
20231102,Richmond Valley
20231198,Bayside (NSW)
20231129,Cowra
20231231,Sutherland
20233120,Moreton Bay
20232196,Whitehorse
20234053,Unincorporated SA
20232240,Greater Dandenong
20231095,Central Coast (NSW)
20232119,Whittlesea
20232243,Strathbogie
20234042,Yankalilla
20232067,Monash
20234079,Adelaide
20231023,Fairfield
20233221,Southern Downs
20233081,Gympie
20231076,Wentworth
20232045,Knox
20236006,Tasman
20234061,Mid Murray
20232201,Casey
20236025,Latrobe (Tas.)
20233189,Rockhampton
20233111,Sunshine Coast
20232097,Manningham
20233036,Ipswich
20231250,Inverell
20233228,Gympie
20234084,Port Augusta
20232009,Benalla
20231145,Liverpool Plains
20231056,Federation
20232115,Yarra Ranges
20233012,Sunshine Coast
20232018,Mornington Peninsula
20233200,Brisbane
20233110,Hinchinbrook
20233154,Bundaberg
20231223,Gunnedah
20234067,Unley
20231182,Snowy Valleys
20238004,Unincorporated ACT
20231173,Balranald
20233155,Gladstone
20233161,Banana
20234020,Mount Barker
20231052,Inner West
20231296,Port Macquarie-Hastings
20231143,Lake Macquarie
20234021,Salisbury
20231302,Mid-Western
20231285,Eurobodalla
20231178,Sutherland
20234031,Alexandrina
20237013,Palmerston
20233136,Sunshine Coast
20233051,Townsville
20231229,Liverpool
20233176,Isaac
20234068,Barunga West
20231044,Liverpool
20231190,Tamworth
20236012,West Coast
20233205,Townsville
20233074,Tablelands
20233050,Rockhampton
20231045,Tenterfield
20231205,Yass Valley
20234025,Tatiara
20231119,Port Macquarie-Hastings
20231272,Canterbury-Bankstown
20233139,Tablelands
20233043,Moreton Bay
20231256,Snowy Monaro
20234018,Port Adelaide Enfield
20231278,Snowy Valleys
20233008,Noosa
20234063,Adelaide Hills
20233069,Fraser Coast
20234017,Playford
20231029,Hawkesbury
20231111,Narrandera
20234034,West Torrens
20231160,Singleton
20233224,Etheridge
20231139,Richmond Valley
20231303,Liverpool
20231283,Bland
20231141,Blacktown
20231206,Bland
20233017,Isaac
20231175,Georges River
20233073,Gold Coast
20233114,Brisbane
20231064,Wingecarribee
20233032,Fraser Coast
20233063,Etheridge
20231271,Forbes
20234094,Port Adelaide Enfield
20231152,Oberon
20231068,Murrumbidgee
20233020,Maranoa
20233134,Mackay
20233198,Cook
20231252,Wollongong
20231227,Bathurst
20231292,Singleton
20232065,Nillumbik
20232171,Greater Dandenong
20232063,Greater Shepparton
20232074,Glenelg
20231288,Sutherland
20232170,Corangamite
20231133,Mid-Coast
20231249,Tweed
20231171,Upper Lachlan
20233196,Brisbane
20233245,Townsville
20231025,Cobar
20231244,Mid-Western
20232118,Casey
20231128,Central Coast (NSW)
20232048,Bass Coast
20236004,Hobart
20232204,Yarra Ranges
20231251,Wollongong
20231263,Warrumbungle
20231078,Northern Beaches
20233251,Gympie
20234077,Yorke Peninsula
20236003,Derwent Valley
20233246,Scenic Rim
20232248,Surf Coast
20237008,Litchfield
20232026,Moorabool
20233170,Gympie
20233210,Bundaberg
20233076,Mackay
20233131,Gold Coast
20233133,Moreton Bay
20232124,Mornington Peninsula
20232136,Frankston
20233183,Townsville
20232022,Mansfield
20231168,Sydney
20232217,Casey
20236016,Waratah-Wynyard
20231220,Hornsby
20233195,Moreton Bay
20231301,Central Coast (NSW)
20233167,Bundaberg
20233021,Logan
20231106,Wingecarribee
20231149,Blacktown
20231226,Mid-Coast
20236022,Launceston
20232084,Hume
20232172,Latrobe (Vic.)
20237023,Litchfield
20232154,Hepburn
20234026,Port Pirie
20232103,Cardinia
20232163,Bass Coast
20231163,Muswellbrook
20231262,Parramatta
20231059,Hornsby
20236011,Circular Head
20234095,Wakefield
20232205,Greater Geelong
20234059,Onkaparinga
20234066,Adelaide Hills
20232223,Wyndham
20231010,Northern Beaches
20231274,Upper Lachlan
20231188,Wollondilly
20231062,Hawkesbury
20233191,Fraser Coast
20234087,Alexandrina
20232150,Frankston
20233144,Fraser Coast
20233208,Moreton Bay
20233212,Sunshine Coast
20234032,Port Adelaide Enfield
20232125,Casey
20231234,Fairfield
20233121,Toowoomba
20232081,Glenelg
20233098,Maranoa
20233070,Douglas
20233040,Brisbane
20236027,Devonport
20232239,Campaspe
20231245,Randwick
20231097,Randwick
20232152,Mornington Peninsula
20231022,Wingecarribee
20231117,Liverpool
20231164,Waverley
20231019,Wollondilly
20233175,Flinders (Qld)
20233015,Livingstone
20231043,Upper Hunter
20234057,Berri Barmera
20234105,Onkaparinga
20233214,Brisbane
20234035,Adelaide Hills
